Entity ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,ACPV,,0.7,0.7,0.7,Solar Photovoltaic,SUN,PV,4,2011
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,CCPV,,0.3,0.3,0.3,Solar Photovoltaic,SUN,PV,4,2011
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,HA,,0.4,0.4,0.4,Petroleum Liquids,DFO,IC,6,2007
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,LIB,,0.3,0.3,0.3,Petroleum Liquids,DFO,IC,6,2005
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,MSC2,,0.2,0.2,0.2,Petroleum Liquids,DFO,IC,12,2015
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,NORTH,,0.2,0.2,0.2,Petroleum Liquids,DFO,IC,6,2011
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,OC,,0.1,0.1,0.1,Petroleum Liquids,DFO,IC,6,2003
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,PP,,0.4,0.4,0.4,Petroleum Liquids,DFO,IC,6,2009
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,TOW2,,0.4,0.4,0.4,Petroleum Liquids,DFO,IC,6,2013
59484,Framingham State University Plant,Map,Map,MA,Middlesex,ISNE,Commercial Non-CHP,WEST,,0.2,0.2,0.2,Petroleum Liquids,DFO,IC,9,2016
60281,Charlotte Solar LLC VT,Map,Map,VT,Chittenden,ISNE,IPP Non-CHP,CS001,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,7,2014
65411,Seville 1,Map,Map,CA,Imperial,IID,IPP Non-CHP,SEV1,,20.0,20.0,20.0,Solar Photovoltaic,SUN,PV,12,2015
65411,Seville 2,Map,Map,CA,Imperial,IID,IPP Non-CHP,SEV2,,30.0,30.0,30.0,Solar Photovoltaic,SUN,PV,12,2015
59493,Scituate Wind,Map,Map,MA,Plymouth,ISNE,IPP Non-CHP,SCIWT,,1.5,1.5,1.5,Onshore Wind Turbine,WND,WT,3,2012
59494,Fairhaven Wind,Map,Map,MA,Bristol,ISNE,IPP Non-CHP,FHWTG,,3.0,3.0,3.0,Onshore Wind Turbine,WND,WT,4,2012
3892,CML&P Generating Facility No. 2,Map,Map,KS,Montgomery,SWPP,Electric Utility,10,,18.7,18.7,18.7,Natural Gas Internal Combustion Engine,NG,IC,1,2017
3892,CML&P Generating Facility No. 2,Map,Map,KS,Montgomery,SWPP,Electric Utility,8,,18.7,18.7,18.7,Natural Gas Internal Combustion Engine,NG,IC,1,2017
3892,CML&P Generating Facility No. 2,Map,Map,KS,Montgomery,SWPP,Electric Utility,9,,18.7,18.7,18.7,Natural Gas Internal Combustion Engine,NG,IC,1,2017
14164,Bull Street Plant,Map,Map,SC,Orangeburg,SCEG,Electric Utility,GEN1,,2.0,2.0,2.0,Natural Gas Fired Combustion Turbine,NG,GT,4,2005
14164,Substation 20 Plant,Map,Map,SC,Orangeburg,SCEG,Electric Utility,GEN1,,2.0,2.0,2.0,Natural Gas Fired Combustion Turbine,NG,GT,6,2014
12670,Macon Solar Power Project,Map,Map,MO,Macon,SWPP,IPP Non-CHP,MSF1,,2.8,2.8,2.8,Solar Photovoltaic,SUN,PV,6,2015
61012,SEPV 18,Map,Map,CA,Los Angeles,CISO,IPP Non-CHP,SPV18,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2016
59500,Templeton,Map,Map,MA,Worcester,ISNE,IPP Non-CHP,TEMPL,,3.0,3.0,3.0,Solar Photovoltaic,SUN,PV,12,2014
59501,Green Pastures Wind I,Map,Map,TX,Baylor,ERCO,IPP Non-CHP,GPI,,150.0,150.0,150.0,Onshore Wind Turbine,WND,WT,4,2015
59502,Green Pastures Wind II,Map,Map,TX,Knox,ERCO,IPP Non-CHP,GPII,,150.0,150.0,150.0,Onshore Wind Turbine,WND,WT,10,2015
65757,Briscoe Wind Farm,Map,Map,TX,Briscoe,ERCO,IPP Non-CHP,BFW,,150.0,150.0,150.0,Onshore Wind Turbine,WND,WT,10,2015
59504,Kirkwood Wind Turbine,Map,Map,IA,Linn,MISO,IPP Non-CHP,KCC01,,2.5,0.7,2.3,Onshore Wind Turbine,WND,WT,2,2012
59506,"Valentine Wind, LLC",Map,Map,NE,Cherry,SWPP,IPP Non-CHP,7772,,1.9,1.9,1.9,Onshore Wind Turbine,WND,WT,9,2014
61012,Aspiration G,Map,Map,CA,Fresno,CISO,IPP Non-CHP,ASPRG,,9.0,9.0,9.0,Solar Photovoltaic,SUN,PV,9,2017
61012,Citizen B,Map,Map,CA,Fresno,CISO,IPP Non-CHP,CSB,,5.0,5.0,5.0,Solar Photovoltaic,SUN,PV,12,2015
61012,Lancaster WAD B,Map,Map,CA,Los Angeles,CISO,IPP Non-CHP,LWADB,,3.0,3.0,3.0,Solar Photovoltaic,SUN,PV,4,2017
61012,SEPV Mojave West,Map,Map,CA,Kern,CISO,IPP Non-CHP,SPVMW,,20.0,20.0,20.0,Solar Photovoltaic,SUN,PV,6,2016
59508,Barton Solar Farm,Map,Map,VT,Orleans,ISNE,IPP Non-CHP,BARTN,,1.9,1.9,1.6,Solar Photovoltaic,SUN,PV,11,2014
8773,Sunnyside Ranch Community Solar Array,Map,Map,CO,Garfield,PSCO,Electric Utility,HCE,,1.5,1.5,1.5,Solar Photovoltaic,SUN,PV,4,2015
59540,Chimes West Friendship (Nixon Farms),Map,Map,MD,Howard,PJM,IPP Non-CHP,1,,1.2,1.2,0.7,Solar Photovoltaic,SUN,PV,12,2014
65922,Lakeland Electric Co. (FL)-Airport 1,Map,Map,FL,Polk,TEC,IPP Non-CHP,1,,2.3,2.3,2.0,Solar Photovoltaic,SUN,PV,12,2011
59511,Leominster (MA)-South Street-R&D,Map,Map,MA,Middlesex,ISNE,IPP Non-CHP,1,,2.9,2.6,1.7,Solar Photovoltaic,SUN,PV,12,2013
59512,DSH (CA) - Coalinga State Hospital,Map,Map,CA,Fresno,CISO,IPP Non-CHP,1,,2.0,2.6,2.6,Solar Photovoltaic,SUN,PV,7,2014
59514,River Mountains Solar,Map,Map,NV,Clark,NEVP,IPP Non-CHP,1,,14.4,14.4,14.4,Solar Photovoltaic,SUN,PV,1,2016
59512,CDCR (CA) - Pleasant Valley State Prison,Map,Map,CA,Fresno,CISO,IPP Non-CHP,1,,1.2,1.2,1.2,Solar Photovoltaic,SUN,PV,7,2014
58473,UMES (MD) - Princess Anne,Map,Map,MD,Somerset,PJM,IPP Non-CHP,1,,2.0,2.1,1.3,Solar Photovoltaic,SUN,PV,2,2011
58473,Bourne (MA) - Holliston I,Map,Map,MA,Middlesex,ISNE,IPP Non-CHP,1,,2.3,2.4,1.5,Solar Photovoltaic,SUN,PV,12,2014
59518,"Wilzig Associates, LLC",Map,Map,NJ,Bergen,PJM,Commercial Non-CHP,WILZG,,1.2,1.2,1.2,Solar Photovoltaic,SUN,PV,1,2013
59519,BlueWave Capital - Grafton (SREC II),Map,Map,MA,Worcester,ISNE,IPP Non-CHP,1,,1.3,1.3,1.3,Solar Photovoltaic,SUN,PV,3,2015
66044,Lakeland Electric Co. (FL) - Airport II,Map,Map,FL,Polk,TEC,IPP Non-CHP,1,,3.5,3.5,2.9,Solar Photovoltaic,SUN,PV,9,2012
60281,Chester Power Partners,Map,Map,VT,Windsor,ISNE,IPP Non-CHP,PVS1,,2.2,2.2,2.2,Solar Photovoltaic,SUN,PV,11,2014
14354,Pryor Mountain Wind,Map,Map,MT,Carbon,PACE,Electric Utility,1,,239.8,239.8,239.8,Onshore Wind Turbine,WND,WT,4,2021
59526,Glades Pike Generation Plant,Map,Map,PA,Somerset,PJM,Commercial Non-CHP,CAT1,,1.6,1.6,1.6,Landfill Gas,LFG,IC,10,2011
59526,Glades Pike Generation Plant,Map,Map,PA,Somerset,PJM,Commercial Non-CHP,CAT2,,1.6,1.6,1.6,Landfill Gas,LFG,IC,10,2011
61119,"Red Hill Solar Center, LLC",Map,Map,NC,Warren,CPLE,IPP Non-CHP,RHILL,,5.0,4.9,4.9,Solar Photovoltaic,SUN,PV,12,2014
61119,"Van Slyke Solar Center, LLC",Map,Map,NC,Wilson,CPLE,IPP Non-CHP,VSLYK,,5.0,4.9,4.9,Solar Photovoltaic,SUN,PV,12,2014
61119,"Broadway Solar Center, LLC",Map,Map,NC,Columbus,CPLE,IPP Non-CHP,BRDWY,,5.0,4.9,4.9,Solar Photovoltaic,SUN,PV,12,2014
