Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Checkable deposts and currency,Time deposits and short-term investments,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Pension entitlements,Equity in noncorpoate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaind life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1999:Q1,pct60to80,8063326,2905662,2267390,638272,5157664,85133,446997,126477,227762,163118,64644,33084,12441,20643,888702,165042,2693778,409394,81295,1549194,1544712,1089444,407369,6630,41269,4482,6514132,20625699,,
1999:Q1,pct40to60,4692439,1848286,1414734,433552,2844153,55726,348927,56227,94456,77336,17121,29509,17921,11588,399882,86981,1439705,280495,52244,863627,861157,547092,300600,3959,9506,2470,3828812,20629792,,
1999:Q1,pct20to40,3114174,1336584,1037588,298995,1777590,40380,362451,60284,104869,71418,33451,8680,0,8680,264574,52863,663719,187630,32141,436170,434689,255442,171530,2030,5686,1482,2678003,20632286,,
1999:Q1,pct00to20,1389030,679526,546021,133505,709504,20241,163672,21598,50666,34294,16372,14074,12531,1543,88402,10801,219470,103667,16912,192259,192073,89084,97182,1588,4220,186,1196771,20619721,,
1999:Q2,pct99to100,8006208,1307677,1014747,292930,6698531,66334,312822,304465,793295,586922,206372,159974,143588,16386,3054078,84853,586803,1313435,22472,392175,391106,254634,29112,6881,100479,1069,7614033,1034081,,
1999:Q2,pct80to99,19035774,5418778,4325124,1093654,13616996,188773,961884,408242,803749,589289,214460,137503,105260,32243,4107029,341100,4497726,2031695,139296,2616166,2607415,1956863,448647,16657,185247,8751,16419608,19656221,,
1999:Q2,pct60to80,8257807,2950728,2303963,646765,5307079,81190,434067,123677,225176,164371,60805,34443,14236,20207,966262,170131,2771351,418045,82739,1570770,1566185,1109190,411906,6926,38163,4585,6687037,20684227,,
1999:Q2,pct40to60,4751835,1859652,1429038,430614,2892183,49993,353737,57256,88025,71572,16453,25625,14455,11171,421671,88316,1471875,283220,52467,882826,880281,562106,305137,4136,8902,2545,3869009,20688844,,
1999:Q2,pct20to40,3167150,1360797,1054059,306738,1806353,36368,352763,57289,101503,69280,32224,8630,0,8630,274783,55708,682690,205714,30904,446288,444715,259906,176273,2293,6242,1573,2720863,20691331,,
1999:Q2,pct00to20,1390734,680845,546676,134169,709889,20811,156938,20497,47793,32989,14804,12811,11005,1806,95242,8505,223373,107486,16432,195936,195855,90499,100506,1886,2964,81,1194798,20679476,,
1999:Q3,pct99to100,7863053,1315350,1021199,294151,6547703,64399,316336,316266,795604,583223,212381,169803,152523,17281,2832109,81438,584263,1362896,24588,401594,400436,262793,32803,6080,98761,1158,7461459,1036912,,
1999:Q3,pct80to99,19141770,5538637,4426783,1111854,13603132,182013,961710,426566,767282,571788,195493,142785,109332,33452,3951098,338259,4566226,2126235,140959,2692630,2683962,2019301,459172,13906,191582,8668,16449140,19713840,,
1999:Q3,pct60to80,8227649,3012985,2357967,655018,5214664,80558,454110,125946,216781,157001,59779,36397,16573,19825,937832,175495,2685247,418887,83411,1597507,1592908,1130260,420846,5931,35871,4598,6630142,20743457,,
1999:Q3,pct40to60,4798457,1908557,1468282,440274,2889900,49432,363906,57854,91981,71602,20379,28105,17252,10853,414529,89581,1459730,282156,52626,907412,904893,578962,312555,3420,9956,2520,3891044,20748570,,
1999:Q3,pct20to40,3218142,1408990,1097379,311611,1809152,35822,357029,57993,93829,65176,28653,10497,1836,8660,263487,55421,694239,208361,32474,460063,458546,265947,184022,1935,6643,1516,2758080,20750989,,
1999:Q3,pct00to20,1433571,720921,583096,137825,712651,20532,160984,19714,42221,29550,12671,11862,9748,2113,95279,11189,223876,110530,16463,201527,201342,93960,102498,1716,3168,185,1232044,20740097,,
1999:Q4,pct99to100,8708292,1375799,1063453,312347,7332492,76180,268588,359669,718910,571571,147339,206803,188646,18157,3546681,106755,631452,1383702,33751,433771,432202,270676,37950,5973,117603,1569,8274520,1039813,,
1999:Q4,pct80to99,20206721,5707948,4580570,1127378,14498772,191940,899917,467927,712663,603574,109088,156502,121873,34629,4643454,349315,4728847,2191202,157006,2785433,2776585,2072171,467364,13063,223989,8847,17421288,19772494,,
1999:Q4,pct60to80,8731426,3067224,2402594,664629,5664203,87756,539619,131258,203318,172225,31093,39793,20365,19429,1117958,185398,2846332,417247,95524,1605781,1601014,1133460,430389,5690,31475,4767,7125645,20803809,,
1999:Q4,pct40to60,4911402,1915443,1482693,432750,2995959,50236,373326,60027,78070,70641,7429,19700,9219,10481,456560,91585,1523750,279974,62730,923279,920737,588278,321626,3235,7599,2542,3988123,20809373,,
1999:Q4,pct20to40,3330750,1431291,1112004,319287,1899459,34780,382422,61118,86169,67879,18290,9973,1335,8638,293793,59757,719361,208851,43234,476674,475087,271440,194272,1925,7450,1587,2854076,20811666,,
1999:Q4,pct00to20,1469938,709366,574635,134731,760572,21790,183108,19613,43680,36861,6819,10605,8223,2382,105644,9902,231665,112550,22015,203161,203038,98450,102021,1791,775,123,1266777,20801939,,
2000:Q1,pct99to100,9097473,1426209,1104574,321636,7671264,69150,359435,387936,665899,540685,125214,249826,230882,18944,3761982,115083,655324,1375878,30753,471479,470488,277826,42256,6371,144035,991,8625994,1042817,,
2000:Q1,pct80to99,20933730,5913953,4765498,1148456,15019777,176764,1016914,497359,666822,586085,80737,171202,135593,35609,4871869,349822,4886398,2219369,163259,2871949,2863465,2117013,467253,13409,265789,8484,18061782,19832526,,
2000:Q1,pct60to80,8834916,3159554,2483282,676272,5675362,82381,463103,135564,189840,165378,24462,43652,24783,18869,1187555,191880,2868051,414201,99133,1589279,1584443,1129057,422941,5952,26493,4836,7245637,20865708,,
2000:Q1,pct40to60,4996764,1963772,1525804,437968,3032992,45357,387433,60859,73609,67120,6490,15846,6139,9707,470112,92287,1546867,276537,64086,925457,922768,593961,321454,3380,3972,2689,4071307,20871658,,
2000:Q1,pct20to40,3375643,1476050,1149311,326739,1899593,31652,353049,63388,80141,65876,14265,12611,4350,8261,301835,61465,735588,219277,40587,484297,482595,276200,195858,2152,8386,1702,2891346,20873769,,
2000:Q1,pct00to20,1461866,730183,593324,136858,731684,21601,158845,19001,38433,33800,4633,8848,6427,2421,109575,10259,235206,108169,21747,208736,208736,102673,104004,2060,0,0,1253130,20865360,,
2000:Q2,pct99to100,8853324,1492209,1161325,330884,7361115,61682,390008,368552,658906,522567,136339,239082,219371,19711,3471563,115700,662168,1362118,31334,473726,472572,286228,47022,5847,133475,1154,8379598,1045954,,
2000:Q2,pct80to99,21048492,6140491,4974396,1166094,14908002,160780,1045874,493933,647969,563274,84695,165184,128621,36564,4649851,345775,4972147,2259696,166793,2937604,2929112,2178967,478206,11734,260206,8493,18110888,19894274,,
2000:Q2,pct60to80,8810867,3259639,2573424,686216,5551228,76597,447437,134714,185491,156446,29045,43857,25538,18319,1144690,196985,2809916,410380,101160,1615409,1610509,1145750,434585,5330,24845,4900,7195458,20929576,,
2000:Q2,pct40to60,5037011,2010506,1565435,445070,3026506,41232,398214,60325,76231,65700,10531,15314,6372,8942,459036,92475,1543141,275637,64901,952310,949631,609199,330979,2954,6498,2680,4084701,20935828,,
2000:Q2,pct20to40,3408875,1513843,1179417,334426,1895032,29116,344960,61560,77787,63074,14713,15427,7543,7884,288660,61938,744207,230440,40937,500911,499241,282331,206313,1943,8654,1670,2907964,20937706,,
2000:Q2,pct00to20,1456838,735873,593852,142022,720964,20942,152748,17660,34786,30408,4378,7305,4853,2453,108297,11542,235820,110031,21834,213247,213247,106630,104667,1950,0,0,1243591,20930716,,
2000:Q3,pct99to100,8922361,1508836,1176897,331939,7413525,52089,372589,387328,657431,506914,150516,248936,228477,20459,3408565,117456,669537,1465634,33960,486077,485030,294807,52710,4809,132704,1047,8436284,1049256,,
2000:Q3,pct80to99,21524278,6301638,5114424,1187214,15222640,143500,1023617,519146,653072,553325,99747,172992,135502,37490,4663827,346606,5103385,2428175,168321,3018313,3009975,2241639,491773,9179,267383,8338,18505965,19958079,,
2000:Q3,pct60to80,8948269,3350586,2654826,695760,5597683,69546,494597,136740,187518,152779,34740,45805,28027,17777,1150111,202523,2807800,400991,102051,1646561,1641610,1161731,453200,4273,22406,4950,7301709,20995834,,
2000:Q3,pct40to60,5107953,2073174,1620877,452296,3034779,36322,408009,62270,77283,62738,14545,16031,7852,8179,465598,94640,1544255,264976,65396,981317,978594,624266,344632,2287,7409,2723,4126636,21002286,,
2000:Q3,pct20to40,3454868,1571917,1233193,338724,1882951,26046,355440,62176,75603,59350,16254,15970,8467,7503,285293,63060,753729,202535,43099,522066,520375,288578,221175,1533,9089,1692,2932802,21003882,,
2000:Q3,pct00to20,1503724,780623,638373,142251,723101,20019,162949,17287,32506,27747,4759,6196,3721,2475,112045,12162,234588,103295,22052,215995,215995,110790,103582,1623,0,0,1287728,20998363,,
2000:Q4,pct99to100,8597979,1597136,1252297,344839,7000843,52993,379318,425825,727063,570099,156964,271763,250570,21193,2824103,110064,653277,1520802,35636,477637,475930,301487,58282,5845,110315,1707,8120342,1052753,,
2000:Q4,pct80to99,21558249,6552136,5354739,1197396,15006113,144049,1039840,558395,692007,590164,101843,188768,150368,38399,4190689,345788,5168690,2508878,169012,3066695,3058159,2292601,507783,10808,246967,8536,18491554,20024283,,
2000:Q4,pct60to80,8888433,3436777,2734283,702494,5451656,72007,528074,140980,204085,167969,36117,49100,31849,17251,1029902,207743,2716441,401734,101590,1685407,1680442,1178359,475429,5119,21536,4966,7203026,21064907,,
2000:Q4,pct40to60,5113792,2103839,1645313,458526,3009953,37847,421269,64829,88354,71081,17273,21810,14374,7436,443152,97611,1510035,260331,64713,1015509,1012934,638510,359771,2778,11875,2575,4098283,21071436,,
2000:Q4,pct20to40,3453847,1594720,1247442,347278,1859127,26709,360757,64491,72824,57588,15235,17998,10866,7132,257902,62544,753926,197870,44106,543304,541781,293202,237409,2013,9156,1523,2910544,21072704,,
2000:Q4,pct00to20,1492476,769132,617908,151224,723344,20071,168711,17199,38606,34129,4477,5208,2710,2498,109637,15080,228562,98709,21561,219751,219497,112625,102593,2135,2144,254,1272726,21068658,,
2001:Q1,pct99to100,8334601,1723149,1371161,351988,6611452,56485,420517,485464,710318,521705,188613,243945,221907,22038,2358559,98827,614772,1586205,36360,461598,460386,307903,61657,3623,87203,1212,7873003,1056479,,
2001:Q1,pct80to99,21820710,6927933,5720563,1207370,14892776,152946,1131785,616334,682680,543721,138959,195314,155768,39546,3839664,353270,5222901,2524787,173095,3092704,3084536,2339902,512386,6338,225910,8168,18728006,20093225,,
2001:Q1,pct60to80,8901377,3607701,2900024,707678,5293676,79038,544259,145493,193946,147882,46064,49270,32343,16927,927298,214861,2623365,413912,102233,1689861,1684910,1190784,470478,3086,20562,4952,7211516,21137215,,
2001:Q1,pct40to60,5143081,2174911,1708310,466602,2968170,42542,437931,70353,84289,59974,24315,33757,26630,7127,430189,104589,1445473,254166,64881,1031333,1028688,650869,359713,1579,16526,2645,4111748,21143681,,
2001:Q1,pct20to40,3445949,1632643,1278908,353735,1813306,29146,357149,67247,64169,46556,17612,15583,8444,7139,234173,61514,741390,198234,44703,547780,546263,297504,238377,1132,9249,1517,2898169,21144580,,
2001:Q1,pct00to20,1441038,753368,594008,159360,687670,20473,166864,18084,26543,20511,6033,5927,3169,2757,110478,20169,213789,84193,21150,228373,228143,114398,107112,1289,5343,230,1212666,21141956,,
2001:Q2,pct99to100,8598780,1761200,1400988,360212,6837580,49673,441841,474499,664555,478393,186162,239656,216785,22871,2565448,105657,620732,1639174,36345,466687,465707,316579,63780,2346,83002,981,8132093,1060462,,
2001:Q2,pct80to99,22561720,7106436,5883814,1222621,15455284,143897,1186435,625782,686341,532848,153493,207926,167255,40671,4168626,363810,5359740,2531578,181149,3182992,3175040,2414726,525495,3921,230898,7952,19378728,20165245,,
2001:Q2,pct60to80,9157776,3680065,2965085,714981,5477711,74890,534682,142379,190403,144584,45819,50904,34309,16595,994203,221286,2735175,427163,106625,1735275,1730234,1233232,476175,1955,18873,5040,7422501,21213183,,
2001:Q2,pct40to60,5226625,2212754,1747602,465152,3013871,38647,444310,74774,75005,50894,24111,36125,29343,6782,464444,110267,1452123,250441,67734,1062873,1060104,677339,363687,966,18113,2769,4163752,21219425,,
2001:Q2,pct20to40,3482540,1676165,1317681,358484,1806375,26470,344759,63925,60103,41753,18350,10577,3465,7113,244722,64459,747000,198955,45404,558003,556352,304047,242021,705,9579,1652,2924537,21219916,,
2001:Q2,pct00to20,1449281,778787,621458,157329,670495,20189,157853,18414,22859,16343,6516,5920,2929,2991,122252,18637,207824,74729,21817,235879,235811,116278,113092,840,5601,67,1213403,21218615,,
2001:Q3,pct99to100,8120403,1775628,1417605,358023,6344775,47885,447342,499561,719842,522947,196895,277710,254000,23710,1969861,87390,582384,1672821,39979,516227,514559,328354,69140,3872,113193,1667,7604176,1064736,514236,2145653248
2001:Q3,pct80to99,22397088,7257893,6022813,1235080,15139195,144424,1213460,658586,717402,555991,161412,241825,200020,41805,3608647,361995,5434792,2569844,188219,3321830,3313698,2498005,532030,6285,277378,8132,19075258,20240685,82278,514236
2001:Q3,pct60to80,9022413,3756053,3036923,719130,5266360,77786,558162,144298,199534,152427,47107,56831,40553,16278,847505,224306,2616627,431862,109448,1754327,1749315,1252096,479827,3187,14204,5012,7268086,21293232,51423,82278
2001:Q3,pct40to60,5224114,2271970,1796586,475383,2952145,41019,453899,78866,80848,54053,26795,51055,44603,6452,428869,115122,1384652,247801,70014,1083057,1080487,695552,369453,1610,13872,2570,4141058,21299073,30854,51423
2001:Q3,pct20to40,3483300,1728715,1367224,361491,1754585,27732,343993,64398,53553,36289,17264,11222,4126,7096,211871,63125,734423,195103,49165,575759,574350,312896,249663,1277,10514,1409,2907541,21299119,16815,30854
2001:Q3,pct00to20,1476774,824353,662148,162206,652421,20099,158900,18800,23052,16419,6633,5534,2307,3227,116123,21295,193324,72480,22814,241437,240963,123598,114237,1498,1630,474,1235337,21298990,0,16815
2001:Q4,pct99to100,8555448,1888738,1512000,376739,6666710,61622,372237,519053,659790,455352,204439,243444,219408,24035,2362671,102471,596505,1705444,43472,484775,483279,337268,64616,896,80499,1496,8070672,1069318,,
2001:Q4,pct80to99,22881088,7411118,6167556,1243562,15469970,165919,1140535,695392,697412,505608,191804,236321,194477,41844,3994612,377368,5496356,2478474,187583,3319075,3310976,2517952,555783,1345,235896,8098,19562013,20319745,,
