"","periodFrom","Spain","Portugal","France","Belgium","Netherlands","UK","Poland","Lithuania","Greece","Croatia","Italy","yw","Total"
"817",2021-03-27,339723040.142857,175070667.714286,905059203,158373254,350800728.642857,766766590.714286,133049261.571429,56609407.7142857,72271439.2857143,0,341006545,"2021 13",3298730137.78571
"818",2021-03-28,339723040.142857,175070667.714286,905059203,158373254,350800728.642857,766766590.714286,133049261.571429,56609407.7142857,72271439.2857143,0,341006545,"2021 13",3298730137.78571
"819",2021-03-29,339723040.142857,175070667.714286,905059203,158373254,350800728.642857,766766590.714286,133049261.571429,56609407.7142857,72271439.2857143,0,341006545,"2021 13",3298730137.78571
"820",2021-03-30,339723040.142857,175070667.714286,905059203,158373254,350800728.642857,766766590.714286,133049261.571429,56609407.7142857,72271439.2857143,0,341006545,"2021 13",3298730137.78571
"821",2021-03-31,339723040.142857,175070667.714286,905059203,158373254,350800728.642857,766766590.714286,133049261.571429,56609407.7142857,72271439.2857143,0,341006545,"2021 13",3298730137.78571
"822",2021-04-01,339723040.142857,175070667.714286,905059203,158373254,350800728.642857,766766590.714286,133049261.571429,56609407.7142857,72271439.2857143,0,341006545,"2021 13",3298730137.78571
"823",2021-04-02,425891798.857143,165022326.857143,931810062.571429,284519243.285714,353360050.714286,943914515.142857,152496995.571429,67246732.8571429,45065268,0,521524651.142857,"2021 14",3890851645
"824",2021-04-03,425891798.857143,165022326.857143,931810062.571429,284519243.285714,353360050.714286,943914515.142857,152496995.571429,67246732.8571429,45065268,0,521524651.142857,"2021 14",3890851645
"825",2021-04-04,425891798.857143,165022326.857143,931810062.571429,284519243.285714,353360050.714286,943914515.142857,152496995.571429,67246732.8571429,45065268,0,521524651.142857,"2021 14",3890851645
"826",2021-04-05,425891798.857143,165022326.857143,931810062.571429,284519243.285714,353360050.714286,943914515.142857,152496995.571429,67246732.8571429,45065268,0,521524651.142857,"2021 14",3890851645
"827",2021-04-06,425891798.857143,165022326.857143,931810062.571429,284519243.285714,353360050.714286,943914515.142857,152496995.571429,67246732.8571429,45065268,0,521524651.142857,"2021 14",3890851645
"828",2021-04-07,425891798.857143,165022326.857143,931810062.571429,284519243.285714,353360050.714286,943914515.142857,152496995.571429,67246732.8571429,45065268,0,521524651.142857,"2021 14",3890851645
"829",2021-04-08,425891798.857143,165022326.857143,931810062.571429,284519243.285714,353360050.714286,943914515.142857,152496995.571429,67246732.8571429,45065268,0,521524651.142857,"2021 14",3890851645
"830",2021-04-09,486245493.714286,179641877.285714,831258642.857143,195757852.857143,406953883.142857,1061775046.71429,132275921.857143,67788345.2857143,74555435.2857143,0,482720000.428571,"2021 15",3918972499.42857
"831",2021-04-10,486245493.714286,179641877.285714,831258642.857143,195757852.857143,406953883.142857,1061775046.71429,132275921.857143,67788345.2857143,74555435.2857143,0,482720000.428571,"2021 15",3918972499.42857
"832",2021-04-11,486245493.714286,179641877.285714,831258642.857143,195757852.857143,406953883.142857,1061775046.71429,132275921.857143,67788345.2857143,74555435.2857143,0,482720000.428571,"2021 15",3918972499.42857
"833",2021-04-12,486245493.714286,179641877.285714,831258642.857143,195757852.857143,406953883.142857,1061775046.71429,132275921.857143,67788345.2857143,74555435.2857143,0,482720000.428571,"2021 15",3918972499.42857
"834",2021-04-13,486245493.714286,179641877.285714,831258642.857143,195757852.857143,406953883.142857,1061775046.71429,132275921.857143,67788345.2857143,74555435.2857143,0,482720000.428571,"2021 15",3918972499.42857
"835",2021-04-14,486245493.714286,179641877.285714,831258642.857143,195757852.857143,406953883.142857,1061775046.71429,132275921.857143,67788345.2857143,74555435.2857143,0,482720000.428571,"2021 15",3918972499.42857
"836",2021-04-15,486245493.714286,179641877.285714,831258642.857143,195757852.857143,406953883.142857,1061775046.71429,132275921.857143,67788345.2857143,74555435.2857143,0,482720000.428571,"2021 15",3918972499.42857
"837",2021-04-16,457820591.428571,169991846.142857,997244021.714286,205810382.428571,329847896.828571,1159800302.14286,115455885.428571,75243516.7142857,65169863.2857143,0,442289381,"2021 16",4018673687.11429
"838",2021-04-17,457820591.428571,169991846.142857,997244021.714286,205810382.428571,329847896.828571,1159800302.14286,115455885.428571,75243516.7142857,65169863.2857143,0,442289381,"2021 16",4018673687.11429
