snapped_at,price,market_cap,total_volume
2020-08-17 00:00:00 UTC,1.000542468,12248808991,32550433816
2020-08-18 00:00:00 UTC,1.000052271,12392582270,37455083630
2020-08-19 00:00:00 UTC,0.999918209,12603054668,38397719107
2020-08-20 00:00:00 UTC,0.999319729,12605339230,36401433568
2020-08-21 00:00:00 UTC,1.001339743,12660117157,33184899864
2020-08-22 00:00:00 UTC,1.000171572,12762557154,39741010255
2020-08-23 00:00:00 UTC,0.999824858,12812234222,33313211681
2020-08-24 00:00:00 UTC,1.000163787,12830042987,30892345718
2020-08-25 00:00:00 UTC,1.000568114,12895083176,31753309180
2020-08-26 00:00:00 UTC,1.000121657,12865507394,37747754073
2020-08-27 00:00:00 UTC,1.000424552,12858452039,34806112585
2020-08-28 00:00:00 UTC,1.000734366,13028548270,34566522791
2020-08-29 00:00:00 UTC,1.001071743,13129348617,30966170779
2020-08-30 00:00:00 UTC,1.000327765,13302097288,31856478490
2020-08-31 00:00:00 UTC,0.999699809,13324009301,34995843752
2020-09-01 00:00:00 UTC,0.999523909,13325296847,35149377247
2020-09-02 00:00:00 UTC,1.000448097,13442714264,43238751764
2020-09-03 00:00:00 UTC,0.999679851,13625399575,43203111186
2020-09-04 00:00:00 UTC,0.994584291,13682958086,42325734952
2020-09-05 00:00:00 UTC,1.000524957,13944291390,46189183373
2020-09-06 00:00:00 UTC,1.004826419,14146895239,53094244103
2020-09-07 00:00:00 UTC,1.000763841,14156780888,47558729227
2020-09-08 00:00:00 UTC,1.000277846,14155492387,43620239194
2020-09-09 00:00:00 UTC,1.003078588,14249894735,41522196714
2020-09-10 00:00:00 UTC,0.999868363,14336176673,35189730702
2020-09-11 00:00:00 UTC,0.999983424,14437687574,43935764281
2020-09-12 00:00:00 UTC,1.000349439,14583424054,35346029129
2020-09-13 00:00:00 UTC,1.000341551,14699656954,34624098988
2020-09-14 00:00:00 UTC,1.000765211,14726592942,36241617625
2020-09-15 00:00:00 UTC,1.001007196,14728080925,39656336900
2020-09-16 00:00:00 UTC,1.000209882,14927227968,38756861577
2020-09-17 00:00:00 UTC,1.000180456,14957143001,39579829044
2020-09-18 00:00:00 UTC,1.000952383,15065278642,40146468290
2020-09-19 00:00:00 UTC,1.000576327,15138915465,39379267436
2020-09-20 00:00:00 UTC,1.000174597,15212009141,33335946546
2020-09-21 00:00:00 UTC,1.002401442,15210458847,33781763221
2020-09-22 00:00:00 UTC,1.000046165,15210934527,41573547147
2020-09-23 00:00:00 UTC,1.00054701,15207247917,33999511557
2020-09-24 00:00:00 UTC,0.999488323,15239262469,32234446705
2020-09-25 00:00:00 UTC,0.999648344,15232006517,35072281091
2020-09-26 00:00:00 UTC,0.99976179,15198008748,31993619553
2020-09-27 00:00:00 UTC,1.000151081,15280949125,28820863360
2020-09-28 00:00:00 UTC,0.99939023,15354889137,29307720522
2020-09-29 00:00:00 UTC,1.000088725,15395506651,31026546673
2020-09-30 00:00:00 UTC,1.001151972,15466015672,30129035766
2020-10-01 00:00:00 UTC,1.000519086,15517416775,28716486086
2020-10-02 00:00:00 UTC,0.999917289,15506096330,32284651454
2020-10-03 00:00:00 UTC,1.001150098,15559126338,33247155372
2020-10-04 00:00:00 UTC,1.000496455,15593659414,25056972872
2020-10-05 00:00:00 UTC,1.000064181,15582073682,25078715306
2020-10-06 00:00:00 UTC,0.999778961,15613470199,26988928629
2020-10-07 00:00:00 UTC,1.000878336,15620630276,31332353955
2020-10-08 00:00:00 UTC,1.000089546,15615309939,27990241489
2020-10-09 00:00:00 UTC,1.000031773,15613856025,30899909593
2020-10-10 00:00:00 UTC,1.000977898,15629093673,31230457377
2020-10-11 00:00:00 UTC,0.999384123,15705291453,31103442135
2020-10-12 00:00:00 UTC,0.999938861,15726508389,26967741737
2020-10-13 00:00:00 UTC,0.999466632,15719081417,32385321214
2020-10-14 00:00:00 UTC,1.000110034,15749202701,31104948901
2020-10-15 00:00:00 UTC,1.000474522,15757276435,30922872467
2020-10-16 00:00:00 UTC,0.998818609,15765787579,30259351504
2020-10-17 00:00:00 UTC,1.000567927,15784964725,29426226652
2020-10-18 00:00:00 UTC,1.000352624,15818540295,23144276109
2020-10-19 00:00:00 UTC,1.001066616,15839841300,23155968890
2020-10-20 00:00:00 UTC,0.999846978,15836240611,24207650510
2020-10-21 00:00:00 UTC,1.001399531,15885590091,25885638599
2020-10-22 00:00:00 UTC,0.981837469,15988638518,31335051767
2020-10-23 00:00:00 UTC,0.998117561,16037428576,32926083271
2020-10-24 00:00:00 UTC,1.000360426,16147555998,29920135253
2020-10-25 00:00:00 UTC,1.000056142,16243349992,26528327915
2020-10-26 00:00:00 UTC,1.000080055,16280341320,25216008426
2020-10-27 00:00:00 UTC,1.000327786,16338115219,35365172506
2020-10-28 00:00:00 UTC,1.00116023,16394460872,30794835443
2020-10-29 00:00:00 UTC,0.999617277,16441266716,35017855628
2020-10-30 00:00:00 UTC,1.000945699,16516066040,30534072185
2020-10-31 00:00:00 UTC,0.999614371,16532183808,32067020215
2020-11-01 00:00:00 UTC,0.997788585,16623463029,28108751849
2020-11-02 00:00:00 UTC,0.997339098,16616270865,24738101276
2020-11-03 00:00:00 UTC,0.999082623,16660305272,30323951754
2020-11-04 00:00:00 UTC,1.00043908,16672806891,27767959285
2020-11-05 00:00:00 UTC,1.000033063,16761357256,32152003554
2020-11-06 00:00:00 UTC,1.002376182,16904673927,39163578587
2020-11-07 00:00:00 UTC,1.000310626,16997171289,43510835202
2020-11-08 00:00:00 UTC,1.002159582,17169790620,43124008602
2020-11-09 00:00:00 UTC,1.00017788,17204850807,31316950435
2020-11-10 00:00:00 UTC,1.000941523,17283048043,36209564648
2020-11-11 00:00:00 UTC,0.997111934,17296592567,30413028371
2020-11-12 00:00:00 UTC,0.998715174,17440423455,32189787693
2020-11-13 00:00:00 UTC,1.000184796,17556236318,32602360313
2020-11-14 00:00:00 UTC,1.001255273,17712127062,31742675285
2020-11-15 00:00:00 UTC,1.00178004,17860345299,28619602670
2020-11-16 00:00:00 UTC,1.003021021,17926838683,26040137068
2020-11-17 00:00:00 UTC,1.000270564,17856049825,31674188936
2020-11-18 00:00:00 UTC,1.001820292,17988127397,40078699659
2020-11-19 00:00:00 UTC,1.000249217,18029086889,49101779955
2020-11-20 00:00:00 UTC,1.000393593,18128126546,40154707936
2020-11-21 00:00:00 UTC,0.999852258,18189806447,40703813948
2020-11-22 00:00:00 UTC,0.997815741,18341344302,54698161931
2020-11-23 00:00:00 UTC,0.997206484,18423982371,59071231388
2020-11-24 00:00:00 UTC,0.997796117,18468867452,61758112032
2020-11-25 00:00:00 UTC,0.998062716,18624333607,74898919468
2020-11-26 00:00:00 UTC,0.997326621,18610597716,56164630316
2020-11-27 00:00:00 UTC,1.000329317,18979461069,81120761697
2020-11-28 00:00:00 UTC,1.002736118,19015542987,50716411874
2020-11-29 00:00:00 UTC,0.999182394,19028717336,43889167310
2020-11-30 00:00:00 UTC,1.000623357,19127804081,41391835038
2020-12-01 00:00:00 UTC,0.998255007,19100000432,56688978353
2020-12-02 00:00:00 UTC,0.994793583,19258843705,63527547983
2020-12-03 00:00:00 UTC,0.999090543,19392984903,47889212627
2020-12-04 00:00:00 UTC,1.001261615,19453232188,39841762132
2020-12-05 00:00:00 UTC,1.003986798,19616345385,43718444845
2020-12-06 00:00:00 UTC,1.001683319,19673710812,39025341308
2020-12-07 00:00:00 UTC,1.001336845,19692101877,34949028389
2020-12-08 00:00:00 UTC,1.000365228,19695202345,34758671979
2020-12-09 00:00:00 UTC,0.99817029,19756413071,38931773030
2020-12-10 00:00:00 UTC,1.000598244,19731593806,48478209602
2020-12-11 00:00:00 UTC,1.000863184,19775400468,36868153695
2020-12-12 00:00:00 UTC,0.999957612,19774158324,39300262409
2020-12-13 00:00:00 UTC,0.998793653,19799083141,33920748217
2020-12-14 00:00:00 UTC,0.999157938,19824289197,35716330657
2020-12-15 00:00:00 UTC,0.999592233,19832906051,31906308925
2020-12-16 00:00:00 UTC,0.999773209,19756381668,34912750509
2020-12-17 00:00:00 UTC,0.998546564,19757024760,50622191919
2020-12-18 00:00:00 UTC,0.997295309,19949736008,80217750873
2020-12-19 00:00:00 UTC,0.998875325,20022296287,55476232084
2020-12-20 00:00:00 UTC,0.998295648,20082054875,50813884203
2020-12-21 00:00:00 UTC,1.002809799,20363396934,50642166156
2020-12-22 00:00:00 UTC,1.002029794,20352568043,56045236103
2020-12-23 00:00:00 UTC,1.001961639,20473741651,56285751886
2020-12-24 00:00:00 UTC,1.004012643,20559034245,65223503054
2020-12-25 00:00:00 UTC,1.002382623,20588104978,58339107535
2020-12-26 00:00:00 UTC,1.002935721,20750908442,55538895733
2020-12-27 00:00:00 UTC,1.002081207,20763290845,56722879091
2020-12-28 00:00:00 UTC,1.001305123,20803077157,72620203806
2020-12-29 00:00:00 UTC,1.00205874,20856035046,59541015355
2020-12-30 00:00:00 UTC,1.001223731,20873380060,57716128688
2020-12-31 00:00:00 UTC,1.001564488,20920738589,56031648978
2021-01-01 00:00:00 UTC,1.000052065,20934027063,50122642446
2021-01-02 00:00:00 UTC,1.001992607,21123644615,46908184580
2021-01-03 00:00:00 UTC,1.003120509,21202977967,65600559358
2021-01-04 00:00:00 UTC,1.000721186,21350523809,88050410444
2021-01-05 00:00:00 UTC,0.999706128,21808226475,1.07934E+11
2021-01-06 00:00:00 UTC,1.002747179,21938753509,94209342879
2021-01-07 00:00:00 UTC,1.007831529,22300090404,1.02227E+11
2021-01-08 00:00:00 UTC,1.001122976,22825440973,1.12492E+11
2021-01-09 00:00:00 UTC,1.002575324,23523147664,1.16099E+11
2021-01-10 00:00:00 UTC,1.005228171,23789558137,88843690834
2021-01-11 00:00:00 UTC,1.002045316,24279872325,1.13187E+11
2021-01-12 00:00:00 UTC,1.008518453,24476886630,1.51288E+11
2021-01-13 00:00:00 UTC,1.002325278,24294673601,98641615847
