ID_RSSD,ID_RSSD_PARENT,CERT,TICKER
3715444,4933272,58823,CSTR
3804535,2125813,58892,QCRH
3938186,4028712,58979,BKU
3835454,4176855,58816,RBB
4114567,4114567,59017,FRC
4125778,3063622,59043,SF
4210227,3973888,59052,NBHC
4368351,1068025,59069,KEY
5050028,1104231,59093,IBOC
5278251,1026632,59108,SCHW
5805451,2349815,57288,WAL
802866,1031449,24735,SIVB
2942690,2942690,57053,SBNY
