Date,Price
24-Jan-20,1.23
23-Jan-20,1.255
22-Jan-20,1.352
21-Jan-20,1.366
20-Jan-20,1.36
17-Jan-20,1.386
16-Jan-20,1.438
15-Jan-20,1.39
14-Jan-20,1.39
13-Jan-20,1.385
10-Jan-20,1.332
9-Jan-20,1.38
8-Jan-20,1.407
7-Jan-20,1.389
6-Jan-20,1.358
3-Jan-20,1.345
2-Jan-20,1.425
1-Jan-20,1.407
31-Dec-19,1.427
30-Dec-19,1.422
27-Dec-19,1.396
26-Dec-19,1.425
25-Dec-19,1.429
24-Dec-19,1.506
23-Dec-19,1.439
20-Dec-19,1.421
19-Dec-19,1.396
18-Dec-19,1.338
17-Dec-19,1.275
16-Dec-19,1.299
13-Dec-19,1.258
12-Dec-19,1.342
11-Dec-19,1.321
10-Dec-19,1.348
9-Dec-19,1.391
7-Dec-19,1.446
6-Dec-19,1.447
5-Dec-19,1.483
4-Dec-19,1.381
3-Dec-19,1.385
2-Dec-19,1.446
29-Nov-19,1.338
28-Nov-19,1.349
27-Nov-19,1.323
26-Nov-19,1.274
25-Nov-19,1.278
22-Nov-19,1.297
21-Nov-19,1.282
20-Nov-19,1.301
19-Nov-19,1.331
18-Nov-19,1.294
16-Nov-19,1.326
15-Nov-19,1.33
14-Nov-19,1.433
13-Nov-19,1.333
12-Nov-19,1.304
11-Nov-19,1.342
9-Nov-19,1.276
8-Nov-19,1.272
7-Nov-19,1.25
6-Nov-19,1.124
5-Nov-19,1.113
4-Nov-19,1.094
1-Nov-19,1.097
31-Oct-19,1.028
30-Oct-19,1.094
29-Oct-19,1.097
28-Oct-19,1.103
25-Oct-19,1.047
24-Oct-19,1.01
23-Oct-19,1.042
22-Oct-19,1.03
21-Oct-19,1.089
18-Oct-19,1.03
17-Oct-19,0.995
16-Oct-19,1.028
15-Oct-19,1.035
14-Oct-19,1.02
11-Oct-19,1.056
10-Oct-19,1.059
9-Oct-19,0.974
8-Oct-19,0.948
7-Oct-19,0.955
4-Oct-19,0.831
3-Oct-19,0.828
2-Oct-19,0.896
1-Oct-19,0.856
30-Sep-19,0.828
28-Sep-19,0.827
27-Sep-19,0.829
26-Sep-19,0.829
25-Sep-19,0.835
24-Sep-19,0.831
23-Sep-19,0.834
20-Sep-19,0.921
19-Sep-19,0.888
18-Sep-19,0.868
17-Sep-19,0.929
16-Sep-19,0.853
13-Sep-19,0.87
12-Sep-19,0.844
11-Sep-19,0.976
10-Sep-19,1.026
9-Sep-19,0.955
8-Sep-19,0.885
6-Sep-19,0.883
5-Sep-19,0.938
4-Sep-19,0.822
3-Sep-19,0.862
2-Sep-19,0.971
30-Aug-19,1.033
29-Aug-19,0.99
28-Aug-19,1.048
27-Aug-19,1.138
26-Aug-19,1.333
24-Aug-19,1.313
23-Aug-19,1.318
22-Aug-19,1.332
21-Aug-19,1.337
20-Aug-19,1.372
19-Aug-19,1.431
18-Aug-19,1.402
16-Aug-19,1.354
15-Aug-19,1.342
14-Aug-19,1.515
13-Aug-19,1.62
12-Aug-19,1.736
10-Aug-19,1.817
