Date,Price
25-Feb-20,1.064
24-Feb-20,1.001
21-Feb-20,0.964
20-Feb-20,0.982
19-Feb-20,0.969
18-Feb-20,0.98
17-Feb-20,0.958
14-Feb-20,0.943
13-Feb-20,0.949
12-Feb-20,0.978
11-Feb-20,1.033
10-Feb-20,1.029
7-Feb-20,1.064
6-Feb-20,1.148
5-Feb-20,1.185
4-Feb-20,1.186
3-Feb-20,1.209
31-Jan-20,1.181
30-Jan-20,1.179
29-Jan-20,1.183
28-Jan-20,1.194
27-Jan-20,1.194
24-Jan-20,1.323
23-Jan-20,1.352
22-Jan-20,1.388
21-Jan-20,1.401
20-Jan-20,1.429
17-Jan-20,1.432
16-Jan-20,1.418
15-Jan-20,1.405
14-Jan-20,1.413
13-Jan-20,1.416
10-Jan-20,1.402
9-Jan-20,1.424
8-Jan-20,1.423
7-Jan-20,1.44
6-Jan-20,1.428
3-Jan-20,1.438
2-Jan-20,1.447
31-Dec-19,1.457
30-Dec-19,1.484
27-Dec-19,1.435
23-Dec-19,1.487
20-Dec-19,1.461
19-Dec-19,1.424
18-Dec-19,1.34
17-Dec-19,1.402
16-Dec-19,1.388
13-Dec-19,1.396
12-Dec-19,1.367
11-Dec-19,1.423
10-Dec-19,1.395
9-Dec-19,1.434
6-Dec-19,1.563
5-Dec-19,1.571
4-Dec-19,1.571
3-Dec-19,1.6
2-Dec-19,1.551
29-Nov-19,1.48
28-Nov-19,1.468
27-Nov-19,1.444
26-Nov-19,1.417
25-Nov-19,1.413
22-Nov-19,1.432
21-Nov-19,1.439
20-Nov-19,1.439
19-Nov-19,1.481
18-Nov-19,1.49
15-Nov-19,1.515
14-Nov-19,1.459
13-Nov-19,1.419
12-Nov-19,1.399
11-Nov-19,1.362
8-Nov-19,1.371
7-Nov-19,1.247
6-Nov-19,1.21
5-Nov-19,1.221
4-Nov-19,1.2
1-Nov-19,1.193
31-Oct-19,1.174
30-Oct-19,1.191
29-Oct-19,1.246
28-Oct-19,1.219
25-Oct-19,1.228
24-Oct-19,1.249
23-Oct-19,1.288
22-Oct-19,1.294
21-Oct-19,1.34
18-Oct-19,1.33
17-Oct-19,1.415
16-Oct-19,1.4
15-Oct-19,1.418
14-Oct-19,1.441
11-Oct-19,1.444
10-Oct-19,1.458
9-Oct-19,1.438
8-Oct-19,1.46
7-Oct-19,1.437
4-Oct-19,1.365
3-Oct-19,1.367
2-Oct-19,1.367
1-Oct-19,1.375
30-Sep-19,1.376
27-Sep-19,1.367
26-Sep-19,1.363
25-Sep-19,1.356
24-Sep-19,1.343
23-Sep-19,1.325
20-Sep-19,1.34
19-Sep-19,1.379
18-Sep-19,1.388
17-Sep-19,1.494
16-Sep-19,1.54
13-Sep-19,1.575
12-Sep-19,1.502
11-Sep-19,1.658
10-Sep-19,1.648
9-Sep-19,1.6
6-Sep-19,1.592
5-Sep-19,1.597
4-Sep-19,1.576
3-Sep-19,1.616
2-Sep-19,1.609
30-Aug-19,1.589
29-Aug-19,1.561
28-Aug-19,1.721
27-Aug-19,1.829
26-Aug-19,1.986
23-Aug-19,1.95
22-Aug-19,1.965
21-Aug-19,1.991
20-Aug-19,1.992
19-Aug-19,2.02
16-Aug-19,1.953
15-Aug-19,2.035
14-Aug-19,2.032
13-Aug-19,2.132
12-Aug-19,2.178
9-Aug-19,2.139
8-Aug-19,2.048
7-Aug-19,2.001
6-Aug-19,2.052
5-Aug-19,2.049
2-Aug-19,2.047
1-Aug-19,2.056
31-Jul-19,2.045
30-Jul-19,2.067
29-Jul-19,2.055
26-Jul-19,2.066
25-Jul-19,1.991
24-Jul-19,2.01
23-Jul-19,2.051
22-Jul-19,2.108
19-Jul-19,2.164
18-Jul-19,2.148
17-Jul-19,2.238
16-Jul-19,2.239
15-Jul-19,2.314
12-Jul-19,2.35
11-Jul-19,2.258
10-Jul-19,2.288
9-Jul-19,2.204
8-Jul-19,2.076
5-Jul-19,2.157
4-Jul-19,2.036
3-Jul-19,2.058
2-Jul-19,2.2
1-Jul-19,2.336
28-Jun-19,2.462
27-Jun-19,2.486
26-Jun-19,2.473
25-Jun-19,2.498
24-Jun-19,2.448
21-Jun-19,2.551
20-Jun-19,2.539
19-Jun-19,2.504
18-Jun-19,2.537
17-Jun-19,2.704
14-Jun-19,2.704
13-Jun-19,2.698
12-Jun-19,2.765
11-Jun-19,2.808
10-Jun-19,2.846
7-Jun-19,2.824
6-Jun-19,2.916
5-Jun-19,2.961
4-Jun-19,2.933
3-Jun-19,2.876
31-May-19,2.904
30-May-19,3.053
29-May-19,3.133
28-May-19,3.172
27-May-19,3.159
24-May-19,3.362
23-May-19,3.429
22-May-19,3.406
21-May-19,3.388
20-May-19,3.418
17-May-19,3.432
16-May-19,3.471
15-May-19,3.558
14-May-19,3.566
13-May-19,3.562
10-May-19,3.504
9-May-19,3.525
8-May-19,3.44
7-May-19,3.347
6-May-19,3.342
3-May-19,3.342
2-May-19,3.343
1-May-19,3.375
30-Apr-19,3.377
29-Apr-19,3.311
26-Apr-19,3.305
25-Apr-19,3.302
24-Apr-19,3.298
23-Apr-19,3.318
22-Apr-19,3.31
19-Apr-19,3.319
18-Apr-19,3.314
17-Apr-19,3.329
16-Apr-19,3.303
15-Apr-19,3.285
12-Apr-19,3.304
11-Apr-19,3.343
10-Apr-19,3.425
9-Apr-19,3.462
8-Apr-19,3.48
5-Apr-19,3.544
4-Apr-19,3.61
3-Apr-19,3.652
2-Apr-19,3.685
1-Apr-19,3.71
29-Mar-19,3.734
28-Mar-19,3.778
27-Mar-19,3.775
26-Mar-19,3.784
25-Mar-19,3.77
22-Mar-19,3.758
21-Mar-19,3.736
20-Mar-19,3.783
19-Mar-19,3.757
18-Mar-19,3.741
15-Mar-19,3.795
14-Mar-19,3.813
13-Mar-19,3.826
12-Mar-19,3.873
11-Mar-19,3.76
8-Mar-19,3.784
7-Mar-19,3.791
6-Mar-19,3.757
5-Mar-19,3.699
4-Mar-19,3.675
1-Mar-19,3.642
28-Feb-19,3.658
27-Feb-19,3.69
26-Feb-19,3.728
25-Feb-19,3.778
22-Feb-19,3.805
21-Feb-19,3.789
20-Feb-19,3.767
19-Feb-19,3.772
18-Feb-19,3.77
15-Feb-19,3.819
14-Feb-19,3.861
13-Feb-19,3.911
12-Feb-19,3.94
11-Feb-19,4.003
8-Feb-19,4.01
7-Feb-19,3.973
6-Feb-19,3.903
5-Feb-19,3.898
4-Feb-19,3.901
1-Feb-19,3.928
31-Jan-19,3.883
30-Jan-19,3.923
29-Jan-19,3.985
28-Jan-19,4.054
25-Jan-19,4.083
24-Jan-19,4.156
23-Jan-19,4.179
22-Jan-19,4.121
21-Jan-19,4.154
18-Jan-19,4.186
17-Jan-19,4.218
16-Jan-19,4.229
15-Jan-19,4.27
14-Jan-19,4.289
11-Jan-19,4.282
10-Jan-19,4.303
9-Jan-19,4.299
8-Jan-19,4.341
7-Jan-19,4.383
4-Jan-19,4.4
3-Jan-19,4.41
2-Jan-19,4.383
