Date,reserves
2008-02-13,22147
2008-02-06,23186
2008-01-30,21928
2008-01-23,27115
2008-01-16,21447
2008-01-09,24791
2008-01-02,23611
2007-12-26,25768
2007-12-24,25768
2007-12-19,24608
2007-12-12,23470
2007-12-05,21627
2007-11-28,23469
2007-11-21,24758
2007-11-14,22635
2007-11-07,22169
2007-10-31,20062
2007-10-24,24115
2007-10-17,21731
2007-10-10,20816
2007-10-03,26809
2007-09-26,29226
2007-09-19,29010
2007-09-12,19812
2007-09-05,20594
2007-08-29,19023
2007-08-22,17640
2007-08-15,19068
2007-08-08,17895
2007-08-01,18072
2007-07-25,17220
2007-07-18,17769
2007-07-11,17571
2007-07-04,36558
2007-06-27,17355
2007-06-20,18623
2007-06-13,17636
2007-06-06,18145
2007-05-30,17797
2007-05-23,16229
2007-05-16,18475
2007-05-09,17940
2007-05-02,17276
2007-04-25,17642
2007-04-18,19011
2007-04-11,17767
2007-04-04,18172
2007-03-28,18454
2007-03-21,18310
2007-03-14,17854
2007-03-07,16129
2007-02-28,17669
2007-02-21,17716
2007-02-14,17955
2007-02-07,17343
2007-01-31,17255
2007-01-24,18219
2007-01-17,18437
2007-01-10,19589
2007-01-03,20324
2006-12-27,20132
2006-12-20,20371
2006-12-13,20591
2006-12-06,19725
2006-11-29,18562
2006-11-22,17304
2006-11-15,19336
2006-11-08,15966
2006-11-01,17322
2006-10-25,17320
2006-10-18,17150
2006-10-11,17697
2006-10-04,22734
2006-09-27,18103
2006-09-20,18376
2006-09-13,18445
2006-09-06,19680
2006-08-30,18986
2006-08-23,19096
2006-08-16,18748
2006-08-09,19432
2006-08-02,20610
2006-07-26,19873
2006-07-19,19175
2006-07-12,20451
2006-07-05,20536
2006-06-28,20689
2006-06-21,21507
2006-06-14,21260
2006-06-07,24901
2006-05-31,24414
2006-05-24,24402
