Date,Price,Open,High,Low,Vol.,Change %
2022-02-09,94.51,94.51,94.51,94.51,,-0.06%
2022-02-08,94.57,94.57,94.57,94.57,,-2.40%
2022-02-07,96.9,96.9,96.9,96.9,,0.66%
2022-02-04,96.26,96.26,96.26,96.26,,5.94%
2022-02-03,90.86,90.86,90.86,90.86,,1.35%
2022-02-02,89.65,89.65,89.65,89.65,,-0.91%
2022-02-01,90.47,90.47,90.47,90.47,,-1.71%
2022-01-31,92.04,92.04,92.04,92.04,,-0.80%
2022-01-28,92.78,92.78,92.78,92.78,,1.51%
2022-01-27,91.4,91.4,91.4,91.4,,-0.36%
2022-01-26,91.73,91.73,91.73,91.73,,3.54%
2022-01-25,88.59,88.59,88.59,88.59,,1.85%
2022-01-24,86.98,86.98,86.98,86.98,,-2.36%
2022-01-21,89.08,89.08,89.08,89.08,,-1.12%
2022-01-20,90.09,90.09,90.09,90.09,,0.54%
2022-01-19,89.61,89.61,89.61,89.61,,1.97%
2022-01-18,87.88,87.88,87.88,87.88,,0.85%
2022-01-17,87.14,87.14,87.14,87.14,,2.29%
2022-01-14,85.19,85.19,85.19,85.19,,0.83%
2022-01-13,84.49,84.49,84.49,84.49,,-0.09%
2022-01-12,84.57,84.57,84.57,84.57,,1.72%
2022-01-11,83.14,83.14,83.14,83.14,,3.20%
2022-01-10,80.56,80.56,80.56,80.56,,-0.58%
2022-01-07,81.03,81.03,81.03,81.03,,0.17%
2022-01-06,80.89,80.89,80.89,80.89,,1.66%
2022-01-05,79.57,79.57,79.57,79.57,,2.51%
2022-01-04,77.62,77.62,77.62,77.62,,1.32%
2022-01-03,76.61,76.61,76.61,76.61,,-0.25%
2021-12-31,76.8,76.8,76.8,76.8,,-0.08%
2021-12-30,76.86,76.86,76.86,76.86,,0.85%
2021-12-29,76.21,76.21,76.21,76.21,,3.74%
2021-12-28,73.46,73.46,73.46,73.46,,0.00%
2021-12-27,73.46,73.46,73.46,73.46,,0.00%
2021-12-24,73.46,73.46,73.46,73.46,,-0.81%
2021-12-23,74.06,74.06,74.06,74.06,,2.28%
