"","date","Category","Index_NSA","Relative_Importance","Index_SA","Monthly_Contribution_NSA","Monthly_Contribution_SA","Yearly_Contribution"
"98",2019-04-01,"Energy",222.499,7.80552391600982,221.758,0.380001050634339,0.18572578996771,0.131282464186707
"99",2019-05-01,"Energy",225.773,7.90355488669965,219.68,0.114855731041561,-0.0731422482952961,-0.0369517758972506
"100",2019-06-01,"Energy",221.373,7.74798266709532,214.666,-0.154029230694008,-0.18039158868314,-0.276217013523007
"101",2019-07-01,"Energy",222.492,7.77415713872313,215.85,0.0391646343704046,0.0427343476742514,-0.164175106258201
"102",2019-08-01,"Energy",216.978,7.581875034719,213.169,-0.192666264238351,-0.0965601820195348,-0.354158230272046
"103",2019-09-01,"Energy",215.418,7.52147117693986,213.122,-0.0545111718891391,-0.00167166955153775,-0.381660556715796
"104",2019-10-01,"Energy",216.351,7.53681692934222,216.62,0.0325763520601106,0.123450916268314,-0.333448206913355
"105",2019-11-01,"Energy",214.636,7.48108476197678,217.435,-0.0597438469608269,0.0283561342323599,-0.0453158243756331
"106",2019-12-01,"Energy",212.982,7.43019476530005,219.786,-0.0576497614394116,0.0808886806420652,0.252533497125578
"107",2020-01-01,"Energy",213.043,6.706,217.803,0.00212807599084996,-0.0670382836922734,0.444485038060444
"108",2020-02-01,"Energy",208.354,6.51706692484941,214.119,-0.147596654196571,-0.113427748929078,0.199105406417182
"109",2020-03-01,"Energy",199.573,6.2560235495596,203.912,-0.274659304199116,-0.310666975382558,-0.428528330975205
"110",2020-04-01,"Energy",183.081,5.77768313634766,182.889,-0.51697544447063,-0.644985989458156,-1.38282932382292
"111",2020-05-01,"Energy",183.076,5.77741267710686,179.542,-0.000157790353350507,-0.105735749319837,-1.49467865066866
"112",2020-06-01,"Energy",193.379,6.06933743924592,188.437,0.325136461427123,0.286228769663174,-0.979780853051936
"113",2020-07-01,"Energy",197.665,6.17263391192305,192.556,0.134519158050296,0.132668217559472,-0.867487367110185
"114",2020-08-01,"Energy",197.362,6.14379921025986,194.285,-0.00946200933555641,0.0554253517611238,-0.685443043447022
"115",2020-09-01,"Energy",198.858,6.18175945841072,196.875,0.0465698747405723,0.0819025655844401,-0.578204062288779
"116",2020-10-01,"Energy",196.458,6.10461930119925,196.435,-0.0746071201570251,-0.0138157417737172,-0.692993788683227
"117",2020-11-01,"Energy",194.388,6.04398797323104,196.359,-0.0643219515289903,-0.002361855407087,-0.705739038467478
"118",2020-12-01,"Energy",198.155,6.155317916114,203.649,0.117125042158782,0.224388351564502,-0.517262011743264
