Selected Geographies,Total,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)","Car, truck, or van",Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar, or trolley",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Worked from home,Other method
Essex County (Southeast)--Newark (West & Southwest) PUMA; New Jersey,3971,0,149,2583,764,475,0,0,0,0,0,0,0,0
Westchester County (South Central West)--New Rochelle City PUMA; New York,11475,0,3219,169,760,7327,0,0,0,0,0,0,0,0
Columbia & Greene Counties PUMA; New York,1798,0,361,26,736,468,0,0,66,0,141,0,0,0
Middlesex County (Northwest)--North Piscataway & South Plainfield PUMA; New Jersey,1920,0,258,43,690,740,189,0,0,0,0,0,0,0
Essex County (Central)--Orange & East Orange PUMA; New Jersey,1590,0,253,289,658,390,0,0,0,0,0,0,0,0
Dutchess County (North & East) PUMA; New York,2985,0,1018,0,644,1266,0,0,0,0,0,27,0,30
Union County (Southwest)--Plainfield & Westfield PUMA; New Jersey,4943,0,885,1792,589,1677,0,0,0,0,0,0,0,0
Passaic County (South)--Passaic & Clifton (SE) PUMA; New Jersey,3949,0,264,2313,576,796,0,0,0,0,0,0,0,0
Suffolk County (Northwest)--Huntington Town (North) PUMA; New York,3966,0,1140,85,574,2167,0,0,0,0,0,0,0,0
Suffolk County (Northwest)--Smithtown Town PUMA; New York,3846,0,1255,0,574,2000,0,0,0,0,0,17,0,0
Suffolk County (West Central)--Babylon Town (Northwest) PUMA; New York,3205,0,1457,0,541,1138,0,0,0,0,0,69,0,0
Sullivan & Ulster (West) Counties PUMA; New York,2198,0,1476,58,539,77,0,0,0,0,26,22,0,0
Putnam County & Southern Dutchess County PUMA; New York,3700,0,1835,0,484,1381,0,0,0,0,0,0,0,0
Ulster County (East) PUMA; New York,1322,0,107,131,479,533,0,0,0,0,0,72,0,0
Middlesex County (North Central)--Metuchen & South Edison PUMA; New Jersey,3506,0,731,30,477,2093,0,0,0,0,0,40,0,135
Middlesex County (North Central)--Metuchen & South Edison PUMA; New Jersey,3506,0,731,30,477,2093,0,0,0,0,0,40,0,135
Union County (North Central)--Union Twp & Roselle Park PUMA; New Jersey,2518,0,811,934,467,306,0,0,0,0,0,0,0,0
Rockland County (North)--New City & Congers PUMA; New York,4880,0,2846,788,421,825,0,0,0,0,0,0,0,0
Middlesex County (Central)--New Brunswick & Highland Park PUMA; New Jersey,2862,0,774,869,395,721,0,0,0,0,0,0,0,103
Essex County (South Central)--Irvington PUMA; New Jersey,5337,0,854,712,370,3401,0,0,0,0,0,0,0,0
