"","date","CA","CA_yoy_raw","US","US_yoy_raw","CA_Share","US_X_CA_yoy_raw","CA_yoy_pct","US_yoy_pct","US_X_CA_yoy_pct"
"212",2007-08-01,331.2,8.70000000000005,2206.3,109.2,0.15011557811721,100.5,0.026403641881639,0.331411229135054,0.0566324805589993
"213",2007-09-01,330.8,10.9,2207.1,114,0.149879932943682,103.1,0.0329106280193238,0.344202898550725,0.0581434694337921
"214",2007-10-01,335,14.6,2220.9,115.2,0.150839749651042,100.6,0.0441354292623941,0.348246674727933,0.0563490729849327
"215",2007-11-01,336.4,16.1,2229.5,118.5,0.150885848845033,102.4,0.0480597014925372,0.353731343283582,0.0571843413190372
"216",2007-12-01,338.3,17.8,2241.8,117.1,0.150905522348113,99.3000000000004,0.0529131985731273,0.348097502972653,0.055038244097107
"217",2008-01-01,335.6,13.6,2225.9,118.4,0.1507704748641,104.8,0.0402010050251257,0.349985220218741,0.0586950434052087
"218",2008-02-01,337.5,12.7,2235.7,112.7,0.150959431050678,99.9999999999998,0.0378426698450536,0.335816448152562,0.0556111667222777
"219",2008-03-01,339.1,13.6,2237.7,98.2999999999997,0.1515395271931,84.6999999999997,0.0402962962962964,0.291259259259258,0.0466949666464523
"220",2008-04-01,339.9,15.5,2246.3,93.7000000000003,0.1513154965944,78.2000000000003,0.0457092303155411,0.27631966971395,0.0427743135324364
"221",2008-05-01,341.1,14.7,2253.2,83.6999999999998,0.151384697319368,68.9999999999998,0.0432480141218005,0.246248896734333,0.0374369269166079
"222",2008-06-01,342.6,14.3,2253,66.5,0.152063914780293,52.2,0.0419231896804455,0.194957490472002,0.0280917016467549
"223",2008-07-01,344.1,14.6,2261.8,61.5,0.152135467326908,46.9,0.0426152948044367,0.179509632224168,0.025069488988668
"224",2008-08-01,344.5,13.3,2263.6,57.2999999999997,0.152191199858632,43.9999999999998,0.0386515547805869,0.166521360069746,0.0234654151778571
"225",2008-09-01,343.7,12.9,2254,46.9000000000001,0.152484472049689,34.0000000000001,0.0374455732946298,0.136139332365748,0.0181207695997442
"226",2008-10-01,344.7,9.69999999999999,2266.2,45.3000000000002,0.152104845115171,35.6000000000002,0.0282222868780913,0.131800989234798,0.0188769287873165
"227",2008-11-01,343,6.60000000000002,2266.1,36.5999999999999,0.151361369754203,29.9999999999999,0.0191470844212359,0.106179286335944,0.0158470234007712
"228",2008-12-01,342,3.69999999999999,2262.2,20.3999999999996,0.151180266996729,16.6999999999996,0.0107871720116618,0.0594752186588911,0.00877331231941139
"229",2009-01-01,333.1,-2.5,2230.4,4.5,0.149345408895265,7,-0.00730994152046784,0.0131578947368421,0.00370311590752791
"230",2009-02-01,331.1,-6.39999999999998,2223.7,-11.9999999999995,0.148895984170527,-5.59999999999957,-0.0192134494145901,-0.0360252176523553,-0.00295016331261166
"231",2009-03-01,329.2,-9.90000000000003,2212.2,-25.5,0.148811138233433,-15.6,-0.0299003322259137,-0.0770160072485654,-0.00821658063836518
"232",2009-04-01,325.7,-14.2,2214.1,-32.2000000000003,0.147102660223115,-18.0000000000003,-0.043134872417983,-0.0978128797083848,-0.00944187998321456
"233",2009-05-01,325.9,-15.2,2201,-52.1999999999998,0.148069059518401,-36.9999999999998,-0.0466687135400677,-0.160270187288916,-0.0193504523821976
"234",2009-06-01,326,-16.6,2203.8,-49.1999999999998,0.147926309102459,-32.5999999999999,-0.0509358698987418,-0.150966554157717,-0.0170644891122278
"235",2009-07-01,326.3,-17.8,2211.2,-50.6000000000004,0.147566931982634,-32.8000000000004,-0.0546012269938651,-0.155214723926381,-0.017103822287115
"236",2009-08-01,326.3,-18.2,2205.9,-57.6999999999998,0.1479214832948,-39.4999999999998,-0.0557768924302788,-0.176831136990499,-0.0205825647438902
"237",2009-09-01,323.3,-20.4,2199.9,-54.1000000000004,0.14696122551025,-33.7000000000004,-0.0625191541526202,-0.165798345081215,-0.0176412081871959
"238",2009-10-01,327.1,-17.6,2215,-51.2000000000003,0.147674943566591,-33.6000000000003,-0.0544386019177234,-0.158366841942469,-0.0174863387978143
"239",2009-11-01,327.8,-15.2,2217,-49.0999999999999,0.147857465042851,-33.8999999999999,-0.0464689697340263,-0.15010700091715,-0.0176277884665383
"240",2009-12-01,329.2,-12.8,2211.8,-50.3999999999996,0.148838050456642,-37.5999999999996,-0.0390482001220257,-0.153752287980475,-0.0195812936152482
"241",2010-01-01,325.4,-7.70000000000005,2199.7,-30.7000000000003,0.147929263081329,-23.0000000000002,-0.023390036452005,-0.0932563791008514,-0.0121224898540033
"242",2010-02-01,327.7,-3.40000000000003,2205.9,-17.8000000000002,0.148556144884174,-14.4000000000001,-0.0104486785494777,-0.0547019053472655,-0.00760858078833368
"243",2010-03-01,328.6,-0.599999999999966,2199.7,-12.5,0.149384006910033,-11.9,-0.00183094293561174,-0.0381446444919133,-0.00631970260223041
"244",2010-04-01,329.8,4.10000000000002,2220.1,6,0.148551867033017,1.89999999999998,0.0124771758977481,0.0182592818015825,0.00100614276636311
"245",2010-05-01,331.5,5.60000000000002,2218.2,17.1999999999998,0.149445496348391,11.5999999999998,0.0169799878714373,0.0521528198908424,0.00618633672870775
"246",2010-06-01,334.2,8.19999999999999,2222.7,18.9000000000001,0.150357673100283,10.7000000000001,0.02473604826546,0.0570135746606338,0.00569815741825543
"247",2010-07-01,337.1,10.8,2240.1,28.9000000000001,0.150484353377081,18.1000000000001,0.0323159784560144,0.0864751645721128,0.00960263143933372
"248",2010-08-01,338,11.7,2246.5,40.5999999999999,0.15045626530158,28.8999999999999,0.0347078018392168,0.120439038860872,0.0153756118323047
"249",2010-09-01,337.3,14,2240.5,40.6000000000004,0.150546752956929,26.6000000000004,0.0414201183431953,0.120118343195267,0.0141745710327189
"250",2010-10-01,340.1,12.9999999999999,2266.9,51.9000000000001,0.150028673518902,38.9000000000001,0.0385413578416838,0.153868959383339,0.0206049049208115
"251",2010-11-01,341.6,13.8,2276.4,59.4000000000001,0.150061500615006,45.6000000000001,0.0405763010879154,0.174654513378418,0.0241372009316113
"252",2010-12-01,343.4,14.2,2281.6,69.7999999999997,0.150508415147265,55.5999999999997,0.0415690866510538,0.204332552693208,0.0295336237118876
"253",2011-01-01,342.8,17.4,2272.5,72.8000000000002,0.150847084708471,55.4000000000001,0.050669772859639,0.211997670355271,0.0295577015419092
"254",2011-02-01,345.6,17.9,2282.4,76.5,0.151419558359621,58.6,0.0522170361726955,0.22316219369895,0.031200085187946
"255",2011-03-01,346.6,18,2292.7,93,0.151175469969904,75,0.0520833333333333,0.269097222222222,0.0400833734167068
"256",2011-04-01,347.8,18,2314.5,94.4000000000001,0.150270036724995,76.4000000000001,0.051933064050779,0.272360069244086,0.040416865047876
"257",2011-05-01,350.9,19.4,2324.4,106.2,0.150963689554294,86.8000000000003,0.0557791834387578,0.305347901092583,0.0460062543064611
"258",2011-06-01,354.6,20.4,2342.6,119.9,0.151370272346965,99.4999999999996,0.0581362211456256,0.341692789968651,0.0526873179772305
"259",2011-07-01,359.7,22.6,2358.6,118.5,0.152505723734419,95.9,0.0637337845459672,0.334179357021997,0.0503941145559642
"260",2011-08-01,362.6,24.6,2368.1,121.6,0.153118533845699,96.9999999999999,0.0683903252710593,0.338059494022797,0.0508252554362064
"261",2011-09-01,362.6,25.3,2366.2,125.7,0.153241484236328,100.4,0.0697738554881412,0.346662989520132,0.0527532576712904
"262",2011-10-01,365.6,25.5000000000001,2386.4,119.5,0.153201475025142,93.9999999999999,0.0703254274682848,0.329564258135687,0.0487855511729292
"263",2011-11-01,368.1,26.4999999999999,2401.4,125,0.153285583409678,98.5000000000001,0.072483588621444,0.341903719912473,0.0509096547446764
"264",2011-12-01,369.7,26.3,2407.4,125.8,0.153568164825123,99.5000000000002,0.0714479760934529,0.341754957891878,0.051336291404396
"265",2012-01-01,368.1,25.3,2389.3,116.8,0.154061859121919,91.5000000000002,0.0684338652961861,0.31593183662429,0.0474166968958907
"266",2012-02-01,372.8,27.2,2410.8,128.4,0.154637464741994,101.2,0.073892963868514,0.348818255908721,0.0522511358942586
"267",2012-03-01,374.1,27.5,2421.1,128.4,0.154516542067655,100.9,0.0737660944206009,0.344420600858369,0.0518472843122142
"268",2012-04-01,376.7,28.9,2434.2,119.7,0.154753101635034,90.7999999999998,0.0772520716385992,0.319967923015236,0.0461687090049321
