date,1Y,CurrentCalendarYear,NextCalendarYear
2022-06-14,4.52,7.65,3.23
2022-06-15,4.58,7.74,3.14
2022-06-16,4.44,7.67,3.02
2022-06-17,4.18,7.49,2.96
2022-06-21,4.23,7.5,3.01
2022-06-22,4.04,7.35,2.9
2022-06-23,3.88,7.26,2.9
2022-06-24,3.98,7.36,2.95
2022-06-27,3.93,7.35,2.89
2022-06-28,3.86,7.35,2.75
2022-06-29,3.7,7.2,2.65
2022-06-30,3.45,7,2.54
2022-07-01,3.62,7.13,2.6
2022-07-05,3.37,6.91,2.59
2022-07-06,3.09,6.73,2.61
2022-07-07,3.18,6.74,2.73
2022-07-08,3.28,6.8,2.82
2022-07-11,3.21,6.67,2.9
2022-07-12,2.92,6.51,2.64
2022-07-13,1.79,6.55,2.74
2022-07-14,1.76,6.54,2.67
2022-07-15,2.02,6.76,2.76
2022-07-18,2.25,6.92,2.89
2022-07-19,2.36,7.05,2.9
2022-07-20,2.33,7.06,2.87
2022-07-21,2.32,7.09,2.76
2022-07-22,2.29,7.06,2.79
2022-07-25,2.31,7.12,2.78
2022-07-26,2.29,7.14,2.73
2022-07-27,2.45,7.29,2.69
2022-07-28,2.43,7.28,2.76
2022-07-29,2.56,7.34,2.87
2022-08-01,2.52,7.3,2.85
2022-08-02,2.52,7.3,2.84
2022-08-03,2.48,7.29,2.8
2022-08-04,2.38,7.18,2.79
2022-08-05,2.36,7.07,2.83
2022-08-08,2.33,7.08,2.83
2022-08-09,2.42,7.14,2.88
2022-08-10,2.5,6.93,2.92
2022-08-11,2.52,6.98,2.9
2022-08-12,2.64,7.06,2.97
2022-08-15,2.61,6.99,3
2022-08-16,2.53,6.91,3.02
2022-08-17,2.59,6.89,3.11
2022-08-18,2.62,6.93,3.12
2022-08-19,2.63,6.92,3.16
2022-08-22,2.69,6.91,3.27
2022-08-23,2.83,6.93,3.43
2022-08-24,2.9,6.94,3.6
2022-08-25,2.81,6.9,3.56
2022-08-26,2.72,6.92,3.44
2022-08-29,2.78,6.85,3.48
2022-08-30,2.66,6.79,3.4
2022-08-31,2.58,6.65,3.44
2022-09-01,2.47,6.63,3.31
2022-09-02,2.49,6.66,3.29
2022-09-06,2.43,6.54,3.32
2022-09-07,2.24,6.46,3.27
2022-09-08,2.21,6.43,3.2
2022-09-09,2.24,6.56,3.11
2022-09-12,2.26,6.65,3.04
2022-09-13,2.75,6.89,3.04
2022-09-14,2.85,6.99,3.06
2022-09-15,2.81,6.9,3.1
2022-09-16,2.71,6.87,2.97
2022-09-19,2.61,6.83,2.89
2022-09-20,2.63,6.83,2.95
2022-09-21,2.64,6.85,2.94
2022-09-22,2.56,6.81,2.9
2022-09-23,2.36,6.66,2.81
2022-09-26,2.23,6.63,2.7
2022-09-27,2.13,6.62,2.6
2022-09-28,2.3,6.71,2.7
2022-09-29,2.12,6.65,2.52
2022-09-30,2.14,6.59,2.56
2022-10-03,2.33,6.72,2.65
2022-10-04,2.48,6.8,2.76
2022-10-05,2.52,6.85,2.73
2022-10-06,2.63,6.89,2.86
2022-10-07,2.73,6.95,2.9
2022-10-11,2.69,6.93,2.87
2022-10-12,2.65,6.92,2.84
2022-10-13,2.76,7.08,2.8
2022-10-14,2.72,7.07,2.77
2022-10-17,2.8,7.14,2.78
2022-10-18,2.71,7.14,2.69
2022-10-19,2.78,7.19,2.7
2022-10-20,2.81,7.18,2.75
2022-10-21,2.9,7.23,2.82
2022-10-24,2.93,7.21,2.84
2022-10-25,2.9,7.22,2.8
2022-10-26,2.85,7.2,2.75
2022-10-27,2.86,7.19,2.79
2022-10-28,2.84,7.18,2.78
2022-10-31,2.86,7.12,2.86
2022-11-01,2.9,7.18,2.85
2022-11-02,2.95,7.17,2.91
2022-11-03,2.85,7.14,2.8
2022-11-04,2.9,7.17,2.87
2022-11-07,2.93,7.17,2.89
2022-11-08,2.9,7.15,2.88
2022-11-09,2.81,7.18,2.7
2022-11-10,2.33,7.05,2.55
2022-11-14,2.32,7.03,2.54
2022-11-15,2.24,7.02,2.48
2022-11-16,2.12,6.98,2.39
2022-11-17,2.05,7.02,2.28
2022-11-18,1.89,7,2.14
2022-11-21,1.97,6.99,2.25
2022-11-22,2.03,7.03,2.29
2022-11-23,2.04,7.03,2.3
2022-11-25,2.01,7.04,2.26
2022-11-28,2,7.02,2.24
2022-11-29,2.04,7.05,2.25
2022-11-30,2.13,7.06,2.34
2022-12-01,2.16,7.06,2.39
2022-12-02,2.27,7.09,2.46
2022-12-05,2.17,7.05,2.4
2022-12-06,2.03,6.98,2.29
2022-12-07,1.99,6.93,2.29
2022-12-08,2.06,6.95,2.34
2022-12-09,2.02,6.94,2.29
2022-12-12,2.09,6.96,2.36
2022-12-13,2.24,6.8,2.4
2022-12-14,2.31,6.8,2.43
2022-12-15,2.23,6.77,2.38
,,,
