state,year,quarter,pi_nt,pi_t,pi
Alaska,1999,1,0.70203239,1.3865395,1.042241
Alaska,1999,2,0.3699398,1.810686,0.95964098
Alaska,1999,3,0.96828544,2.9453139,1.7221014
Alaska,1999,4,1.762884,0.53915465,1.2378587
Alaska,2000,1,0.76798892,0.89058763,0.74837446
Alaska,2000,2,1.5116373,1.5410234,1.4872369
Alaska,2000,3,1.2775586,2.0554347,1.5599573
Alaska,2000,4,0.61134249,2.4024353,1.2943833
Alaska,2001,1,2.4193211,2.2629118,2.3295949
Alaska,2001,2,2.8261123,2.3959138,2.6311138
Alaska,2001,3,4.501945,1.0558631,3.0529754
Alaska,2001,4,3.7035158,1.5482215,2.7482691
Alaska,2002,1,3.182198,0.44918266,2.0205994
Alaska,2002,2,3.0684884,-0.59965003,1.5725615
Alaska,2002,3,2.039727,-1.5460203,0.66294253
Alaska,2002,4,3.1693869,-1.264195,1.497334
Alaska,2003,1,3.08657,-0.98996067,1.5423393
Alaska,2003,2,3.1549513,-0.15421142,1.9049747
Alaska,2003,3,3.1187408,3.2794821,3.2877369
Alaska,2003,4,3.6533146,3.489408,3.8012173
Alaska,2004,1,3.7265201,3.5541162,3.8836424
Alaska,2004,2,4.2502728,4.2489543,4.498795
Alaska,2004,3,3.7851143,2.9861922,3.6114624
Alaska,2004,4,3.0207434,3.1845593,3.1200728
Alaska,2005,1,2.6178663,3.3426235,2.9198022
Alaska,2005,2,3.2040873,3.3452771,3.2697296
Alaska,2005,3,4.1993694,3.6997197,4.0269909
Alaska,2005,4,4.1226611,3.3867972,3.8307331
Alaska,2006,1,5.5948563,3.821533,4.9865723
Alaska,2006,2,4.8149099,4.1019368,4.6305475
Alaska,2006,3,3.8973308,3.9284883,4.0257034
Alaska,2006,4,2.9243913,3.0447237,3.0566657
Alaska,2007,1,2.6592498,2.6465578,2.7445586
Alaska,2007,2,2.0935075,2.4631217,2.1804223
Alaska,2007,3,2.797169,2.6102352,2.6430244
Alaska,2007,4,3.1536849,3.4162457,3.1249287
Alaska,2008,1,2.2560525,3.6587546,2.5952575
Alaska,2008,2,3.1302583,3.7438891,3.3732009
Alaska,2008,3,3.184474,3.9736266,3.6652105
Alaska,2008,4,3.5909524,3.529021,3.8074872
Alaska,2009,1,5.2700329,2.5679834,4.6377416
Alaska,2009,2,4.153502,1.1375678,3.3246343
Alaska,2009,3,3.3384461,1.3271637,2.7022636
Alaska,2009,4,3.1947582,1.8004059,2.7432625
Alaska,2010,1,0.30754495,2.2647474,0.85473114
Alaska,2010,2,1.5649354,1.9041785,1.5163397
Alaska,2010,3,1.3055516,0.53630918,0.83632773
Alaska,2010,4,-0.33657852,-0.39667374,-0.57817495
Alaska,2011,1,0.96702409,1.4915419,0.99797606
Alaska,2011,2,3.1779842,3.4832425,3.2351012
Alaska,2011,3,5.6010866,3.6051931,4.8311691
Alaska,2011,4,4.1018023,4.5189934,4.0933771
Alaska,2012,1,3.8961263,2.9791427,3.4463923
Alaska,2012,2,3.0447872,2.0025823,2.4376163
Alaska,2012,3,1.022971,2.0930972,1.2816674
Alaska,2012,4,1.0498254,1.5360442,1.171124
Alaska,2013,1,4.9135199,1.5588264,3.8189697
Alaska,2013,2,4.7432642,0.88019288,3.6151855
Alaska,2013,3,5.4118843,-0.19768928,3.6186805
Alaska,2013,4,8.0331459,-1.8422461,4.6834545
Alaska,2014,1,5.1597667,-2.5306652,2.5906346
Alaska,2014,2,1.822975,-2.4339323,0.32174104
Alaska,2014,3,4.0117116,-0.83733386,2.4247842
Alaska,2014,4,5.4387426,-0.77260721,3.4305842
Alaska,2015,1,5.3616552,-2.3066888,2.7784727
Alaska,2015,2,5.7854109,-2.6443815,2.8914762
Alaska,2015,3,1.76784,-4.8877316,-0.68650746
Alaska,2015,4,1.281601,-5.9973493,-1.1916203
Alaska,2016,1,0.90270686,-5.1942267,-1.3184928
Alaska,2016,2,2.3370624,-3.9071484,-0.051563364
Alaska,2016,3,3.6293659,-2.3938727,1.4751401
Alaska,2016,4,3.0153637,0.25639403,1.8355398
Alaska,2017,1,1.7914685,1.6803607,1.6394501
Alaska,2017,2,2.1285133,1.4874772,1.9820834
Alaska,2017,3,1.1505144,0.98535109,1.0431432
Alaska,2017,4,3.1395602,1.112929,2.5556846
Arkansas,1989,1,4.1982908,4.2546172,4.2348814
Arkansas,1989,2,4.383285,5.2122803,4.7622976
Arkansas,1989,3,4.570271,3.9468958,4.3071995
Arkansas,1989,4,4.1698289,3.5224388,3.8940096
Arkansas,1990,1,3.990171,4.0612836,4.0202694
Arkansas,1990,2,4.6167445,1.9993476,3.4694655
Arkansas,1990,3,3.6806073,2.8538425,3.3442991
Arkansas,1990,4,4.9470501,3.7383273,4.4269595
Arkansas,1991,1,5.1544113,2.5415568,4.0110655
Arkansas,1991,2,4.6169863,3.3034847,4.0431776
Arkansas,1991,3,5.711412,1.5776411,3.9154735
Arkansas,1991,4,4.3238325,1.1367903,2.9716384
Arkansas,1992,1,3.3972225,0.6621021,2.2603259
Arkansas,1992,2,3.0122101,0.14611323,1.8148278
Arkansas,1992,3,2.1805477,0.94456214,1.6856574
Arkansas,1992,4,2.5262005,1.0386457,1.913352
Arkansas,1993,1,2.9435952,1.6721612,2.4211459
Arkansas,1993,2,3.2581818,1.9649535,2.7392304
Arkansas,1993,3,3.6809008,1.2883508,2.7084444
Arkansas,1993,4,2.7561748,1.4206945,2.2538052
Arkansas,1994,1,2.2824912,1.1689892,1.8740417
Arkansas,1994,2,2.115701,1.0973526,1.7448511
Arkansas,1994,3,2.70874,3.2855635,3.0065038
Arkansas,1994,4,2.2718379,2.3454728,2.3359001
Arkansas,1995,1,3.1628377,1.9588839,2.6915717
Arkansas,1995,2,3.1591017,2.0410256,2.7247074
Arkansas,1995,3,2.195538,-0.074777327,1.2935926
Arkansas,1995,4,2.0654607,0.55885017,1.5031444
Arkansas,1996,1,1.8225524,1.1859434,1.6158313
Arkansas,1996,2,2.5085058,1.3969651,2.0872545
Arkansas,1996,3,4.5657492,1.5404067,3.3099885
Arkansas,1996,4,6.0140767,1.1409595,3.9499314
Arkansas,1997,1,5.9045205,0.12530552,3.4791534
Arkansas,1997,2,5.600616,-1.0507494,2.8705788
Arkansas,1997,3,3.2205904,-0.85686278,1.6542336
Arkansas,1997,4,2.8707426,-0.52821708,1.5547072
Arkansas,1998,1,1.8151522,-1.2994809,0.45201656
Arkansas,1998,2,1.1668613,-1.2340887,0.069757864
Arkansas,1998,3,0.73185742,-1.3709329,-0.28145534
Arkansas,1998,4,1.3987261,-2.9212704,-0.52933693
Arkansas,1999,1,1.2851111,-2.1706145,-0.19166695
Arkansas,1999,2,1.3839519,-1.2980485,0.21876618
Arkansas,1999,3,1.7764132,-0.48268366,0.78190452
Arkansas,1999,4,1.5319104,0.92678565,1.2313421
Arkansas,2000,1,2.1540008,2.1353874,2.1213713
Arkansas,2000,2,3.4825902,2.669601,3.1898327
Arkansas,2000,3,3.525326,3.3213997,3.5265567
Arkansas,2000,4,1.7349648,3.7469218,2.5564311
Arkansas,2001,1,2.3271847,3.543402,2.8272643
Arkansas,2001,2,2.321346,2.9283371,2.5638852
Arkansas,2001,3,2.5582209,1.1123463,1.9229647
Arkansas,2001,4,3.3832827,-0.25888926,1.8754069
Arkansas,2002,1,4.1664696,-0.35263863,2.3130322
Arkansas,2002,2,3.1430969,0.38561764,1.9078821
Arkansas,2002,3,2.2852535,0.62894416,1.5126088
Arkansas,2002,4,3.1793842,1.2689924,2.3142138
Arkansas,2003,1,3.4097278,1.4091945,2.491569
Arkansas,2003,2,0.95573008,0.38142768,0.63609529
Arkansas,2003,3,0.43244255,1.108447,0.61608547
Arkansas,2003,4,-1.3246952,1.9692057,-0.14239053
Arkansas,2004,1,-2.7664752,2.5009615,-0.81390607
Arkansas,2004,2,0.77816987,3.4656541,1.773234
Arkansas,2004,3,2.9083498,3.3615589,3.0699048
Arkansas,2004,4,3.5634439,4.1142931,3.814256
Arkansas,2005,1,3.2452948,3.3962681,3.340286
Arkansas,2005,2,2.8748882,2.7752442,2.8894548
Arkansas,2005,3,2.0559552,4.2910109,2.9388306
Arkansas,2005,4,2.4991605,2.4259663,2.4912784
Arkansas,2006,1,3.0955126,1.9368919,2.6818511
Arkansas,2006,2,2.2520621,1.9502066,2.1351795
Arkansas,2006,3,3.5926785,0.37640736,2.2679739
Arkansas,2006,4,4.6194911,-1.1216906,2.2323644
Arkansas,2007,1,4.8606048,0.19628383,2.9246929
Arkansas,2007,2,2.4692638,0.73417383,1.740621
Arkansas,2007,3,2.3282783,0.98304075,1.7530347
Arkansas,2007,4,1.8920362,2.6779904,2.1918876
Arkansas,2008,1,1.8058685,2.4017415,2.0099297
Arkansas,2008,2,5.1567783,2.8203716,4.1679564
Arkansas,2008,3,3.1387303,3.0247455,3.0639472
Arkansas,2008,4,2.8577666,1.1556177,2.1233411
Arkansas,2009,1,3.0174882,-2.5546625,0.77235806
Arkansas,2009,2,0.24658562,-2.9709589,-1.0792489
Arkansas,2009,3,0.56508976,-3.4346535,-1.0654114
Arkansas,2009,4,0.23937078,-2.2114501,-0.75949138
Arkansas,2010,1,0.89049619,-0.47106037,0.29518461
Arkansas,2010,2,3.0060356,-1.7326307,1.1653802
Arkansas,2010,3,3.0051324,-2.7133999,0.78845698
Arkansas,2010,4,1.6802722,-0.50478256,0.82366103
Arkansas,2011,1,0.88989162,1.3727117,1.0616179
Arkansas,2011,2,2.1307492,3.0855579,2.3356624
Arkansas,2011,3,5.0804858,3.6298823,4.157567
Arkansas,2011,4,4.5307503,2.3948867,3.310442
Arkansas,2012,1,4.8479595,1.8589153,3.3305328
Arkansas,2012,2,1.9078194,0.67897516,1.2416685
Arkansas,2012,3,-4.0709238,-0.034387756,-2.3311238
Arkansas,2012,4,-5.0896559,-0.37773788,-2.9836314
Arkansas,2013,1,-4.5526366,-0.18207514,-2.5814793
Arkansas,2013,2,-3.1536229,-0.44963804,-1.8348346
Arkansas,2013,3,0.69084823,1.2124597,1.0041629
