datemy,DUR_BIAP,PX5_MD
2/1/2005,10,2.8
3/1/2005,11,2.8
4/1/2005,13,2.9
5/1/2005,14,2.9
6/1/2005,13,2.9
7/1/2005,12,2.9
8/1/2005,11,2.8
9/1/2005,13,2.9
10/1/2005,15,3
11/1/2005,14,3.1
12/1/2005,12,3.1
1/1/2006,10,3
2/1/2006,10,3
3/1/2006,11,2.9
4/1/2006,13,3
5/1/2006,13,3.1
6/1/2006,14,3.1
7/1/2006,13,3
8/1/2006,13,3
9/1/2006,11,3
10/1/2006,10,3.1
11/1/2006,8,3
12/1/2006,8,3
1/1/2007,8,3
2/1/2007,8,3
3/1/2007,8,2.9
4/1/2007,10,3
5/1/2007,10,3
6/1/2007,11,3
7/1/2007,10,3
8/1/2007,9,3
9/1/2007,8,3
10/1/2007,8,2.9
11/1/2007,7,2.9
12/1/2007,7,2.9
1/1/2008,6,3
2/1/2008,6,3
3/1/2008,6,3
4/1/2008,6,3
5/1/2008,6,3.2
6/1/2008,6,3.3
7/1/2008,7,3.3
8/1/2008,6,3.3
9/1/2008,6,3.1
10/1/2008,5,3
11/1/2008,4,2.9
12/1/2008,2,2.8
1/1/2009,2,2.8
2/1/2009,2,2.9
3/1/2009,2,2.9
4/1/2009,2,2.8
5/1/2009,2,2.8
6/1/2009,3,2.9
7/1/2009,3,3
8/1/2009,3,2.9
9/1/2009,3,2.9
10/1/2009,4,2.8
11/1/2009,4,2.9
12/1/2009,4,2.9
1/1/2010,4,2.9
2/1/2010,4,2.8
3/1/2010,4,2.8
4/1/2010,4,2.7
5/1/2010,4,2.8
6/1/2010,4,2.8
7/1/2010,4,2.9
8/1/2010,4,2.8
9/1/2010,3,2.8
10/1/2010,3,2.8
11/1/2010,3,2.8
12/1/2010,4,2.8
1/1/2011,4,2.8
2/1/2011,5,2.9
3/1/2011,7,3
4/1/2011,9,3
5/1/2011,8,3
6/1/2011,7,2.9
7/1/2011,5,2.9
8/1/2011,4,2.9
9/1/2011,5,2.9
10/1/2011,5,2.8
11/1/2011,5,2.7
12/1/2011,5,2.7
1/1/2012,5,2.7
2/1/2012,5,2.8
3/1/2012,6,2.9
4/1/2012,7,2.9
5/1/2012,7,2.9
6/1/2012,6,2.8
