Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2018/3,8542, Electronic integrated circuits,Macao,27
Exports,2018/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,124667
Exports,2018/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1814
Exports,2018/4,8542, Electronic integrated circuits,China,1849129
Exports,2018/4,8542, Electronic integrated circuits,Hong Kong,2243156
Exports,2018/4,8542, Electronic integrated circuits,Macao,19
Exports,2018/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,125181
Exports,2018/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,5133
Exports,2018/5,8542, Electronic integrated circuits,China,2084536
Exports,2018/5,8542, Electronic integrated circuits,Hong Kong,2243617
Exports,2018/5,8542, Electronic integrated circuits,Macao,95
Exports,2018/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,156754
Exports,2018/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1610
Exports,2018/6,8542, Electronic integrated circuits,China,1971903
Exports,2018/6,8542, Electronic integrated circuits,Hong Kong,2174716
Exports,2018/6,8542, Electronic integrated circuits,Macao,71
Exports,2018/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,132158
Exports,2018/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,6809
Exports,2018/7,8542, Electronic integrated circuits,China,2159969
Exports,2018/7,8542, Electronic integrated circuits,Hong Kong,2206219
Exports,2018/7,8542, Electronic integrated circuits,Macao,60
Exports,2018/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,107273
