Date of data,Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,US dollar
202208,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",195,Number of item,757653,Kilogram,144256416
202208,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,167,Number of item,998352,Kilogram,415187384
202208,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,63,Number of item,350447,Kilogram,130468201
202208,84862031,Step and repeat alignersw,24,Number of item,152617,Kilogram,125500835
202208,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,99,Number of item,505670,Kilogram,283409173
202208,84862041,Dry plasma etching for the manufacture of semiconductor or IC,113,Number of item,535424,Kilogram,300590308
202208,84862050,Ion implanters,41,Number of item,754983,Kilogram,92748561
202209,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",164,Number of item,680943,Kilogram,166052913
202209,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,136,Number of item,674788,Kilogram,272664934
202209,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,68,Number of item,413007,Kilogram,129468009
202209,84862031,Step and repeat alignersw,44,Number of item,338353,Kilogram,104513220
202209,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,98,Number of item,537764,Kilogram,181774037
202209,84862041,Dry plasma etching for the manufacture of semiconductor or IC,141,Number of item,748053,Kilogram,399010757
202209,84862050,Ion implanters,33,Number of item,655125,Kilogram,98120169
202210,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",111,Number of item,517949,Kilogram,110829760
202210,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,154,Number of item,1014624,Kilogram,314742909
202210,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,85,Number of item,269812,Kilogram,61485822
202210,84862031,Step and repeat alignersw,40,Number of item,276821,Kilogram,114131275
202210,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,88,Number of item,482271,Kilogram,339201371
202210,84862041,Dry plasma etching for the manufacture of semiconductor or IC,111,Number of item,449225,Kilogram,210167808
202210,84862050,Ion implanters,24,Number of item,427872,Kilogram,52666103
202211,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",166,Number of item,602186,Kilogram,117924448
202211,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,137,Number of item,839022,Kilogram,249006221
202211,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,55,Number of item,381975,Kilogram,63740781
202211,84862031,Step and repeat alignersw,42,Number of item,457108,Kilogram,131828851
202211,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,72,Number of item,352145,Kilogram,130740558
202211,84862041,Dry plasma etching for the manufacture of semiconductor or IC,163,Number of item,618062,Kilogram,257524050
202211,84862050,Ion implanters,49,Number of item,833929,Kilogram,102766011
202212,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",147,Number of item,557987,Kilogram,112891787
202212,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,90,Number of item,679985,Kilogram,207332182
202212,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,78,Number of item,332870,Kilogram,80690720
202212,84862031,Step and repeat alignersw,23,Number of item,157933,Kilogram,45304866
202212,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,72,Number of item,324612,Kilogram,181413569
202212,84862041,Dry plasma etching for the manufacture of semiconductor or IC,143,Number of item,544280,Kilogram,251987311
202212,84862050,Ion implanters,26,Number of item,433181,Kilogram,74749183
202101,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",153,Number of item,597711,Kilogram,125129678
202101,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,149,Number of item,796827,Kilogram,301823346
202101,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,47,Number of item,357483,Kilogram,58926877
202101,84862031,Step and repeat alignersw,27,Number of item,202375,Kilogram,54792477
202101,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,75,Number of item,479360,Kilogram,382408763
202101,84862041,Dry plasma etching for the manufacture of semiconductor or IC,129,Number of item,545008,Kilogram,314984450
202101,84862050,Ion implanters,19,Number of item,331374,Kilogram,40817698
202102,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",110,Number of item,566609,Kilogram,153036655
202102,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,142,Number of item,893913,Kilogram,311990814
202102,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,24,Number of item,108052,Kilogram,33137813
202102,84862031,Step and repeat alignersw,18,Number of item,205929,Kilogram,100323523
202102,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,31,Number of item,414151,Kilogram,320661089
202102,84862041,Dry plasma etching for the manufacture of semiconductor or IC,109,Number of item,593799,Kilogram,316667673
202102,84862050,Ion implanters,24,Number of item,460759,Kilogram,53749077
202103,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",187,Number of item,695878,Kilogram,156705159
202103,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,211,Number of item,1182836,Kilogram,433131332
202103,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,58,Number of item,282080,Kilogram,121278765
202103,84862031,Step and repeat alignersw,39,Number of item,328867,Kilogram,95878749
202103,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,96,Number of item,340501,Kilogram,163852403
202103,84862041,Dry plasma etching for the manufacture of semiconductor or IC,191,Number of item,765448,Kilogram,314779937
202103,84862050,Ion implanters,41,Number of item,828922,Kilogram,100253517
202104,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",164,Number of item,495521,Kilogram,148798218
202104,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,188,Number of item,1121703,Kilogram,421444984
202104,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,91,Number of item,374669,Kilogram,115075450
202104,84862031,Step and repeat alignersw,33,Number of item,350603,Kilogram,98571375
202104,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,58,Number of item,390814,Kilogram,285756077
202104,84862041,Dry plasma etching for the manufacture of semiconductor or IC,185,Number of item,799061,Kilogram,436245278
202104,84862050,Ion implanters,19,Number of item,302239,Kilogram,33646724
202105,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",165,Number of item,748607,Kilogram,189315737
202105,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,171,Number of item,1128772,Kilogram,417069624
202105,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,54,Number of item,307008,Kilogram,57619360
202105,84862031,Step and repeat alignersw,27,Number of item,215590,Kilogram,196647311
202105,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,65,Number of item,583473,Kilogram,242995931
202105,84862041,Dry plasma etching for the manufacture of semiconductor or IC,159,Number of item,893930,Kilogram,461960118
202105,84862050,Ion implanters,15,Number of item,253984,Kilogram,35741674
202106,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",179,Number of item,867673,Kilogram,224036782
202106,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,186,Number of item,1117708,Kilogram,418505296
202106,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,63,Number of item,326215,Kilogram,65118929
202106,84862031,Step and repeat alignersw,73,Number of item,422014,Kilogram,73228858
202106,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,115,Number of item,677622,Kilogram,359536081
202106,84862041,Dry plasma etching for the manufacture of semiconductor or IC,193,Number of item,1007561,Kilogram,502190945
202106,84862050,Ion implanters,39,Number of item,726879,Kilogram,113929774
