Date,RIG_COUNT
2000-07-14,212
2000-07-21,213
2000-07-28,210
2000-08-04,208
2000-08-11,209
2000-08-18,206
2000-08-25,200
2000-09-01,202
2000-09-08,201
2000-09-15,194
2000-09-22,193
2000-09-29,207
2000-10-06,200
2000-10-13,209
2000-10-20,210
2000-10-27,228
2000-11-03,232
2000-11-10,226
2000-11-17,232
2000-11-22,244
2000-12-01,255
2000-12-08,242
2000-12-15,244
2000-12-21,235
2000-12-29,234
2001-01-05,244
2001-01-12,234
2001-01-19,240
2001-01-26,236
2001-02-02,237
2001-02-09,234
2001-02-16,242
2001-02-23,236
2001-03-02,240
2001-03-09,252
2001-03-16,249
2001-03-23,256
2001-03-30,244
2001-04-06,253
2001-04-12,254
2001-04-20,244
2001-04-27,235
2001-05-04,244
2001-05-11,236
2001-05-18,231
2001-05-25,230
2001-06-01,231
2001-06-08,212
2001-06-15,223
2001-06-22,211
2001-06-29,217
2001-07-06,219
2001-07-13,223
2001-07-20,218
2001-07-27,214
2001-08-03,218
2001-08-10,222
2001-08-17,217
2001-08-24,215
2001-08-31,221
2001-09-07,222
2001-09-14,220
2001-09-21,223
2001-09-28,215
2001-10-05,205
2001-10-12,208
2001-10-19,192
2001-10-26,187
2001-11-02,184
2001-11-09,176
2001-11-16,173
2001-11-21,172
2001-11-30,167
2001-12-07,159
2001-12-14,150
2001-12-21,140
2001-12-28,137
2002-01-04,138
2002-01-11,136
2002-01-18,146
2002-01-25,144
2002-02-01,143
2002-02-08,144
2002-02-15,146
2002-02-22,144
2002-03-01,142
2002-03-08,144
2002-03-15,142
2002-03-22,144
2002-03-28,150
2002-04-05,145
2002-04-12,135
2002-04-19,134
2002-04-26,130
2002-05-03,134
2002-05-10,141
2002-05-17,131
2002-05-24,132
2002-05-31,131
2002-06-07,135
2002-06-14,134
2002-06-21,139
2002-06-28,142
2002-07-03,144
2002-07-12,135
2002-07-19,132
2002-07-26,119
2002-08-02,117
2002-08-09,127
2002-08-16,133
2002-08-23,124
2002-08-30,124
2002-09-06,116
2002-09-13,115
2002-09-20,125
2002-09-27,131
2002-10-04,142
2002-10-11,137
2002-10-18,137
2002-10-25,142
2002-11-01,158
2002-11-08,149
2002-11-15,147
2002-11-22,142
2002-11-27,135
2002-12-06,142
2002-12-13,133
2002-12-20,135
2002-12-27,136
2003-01-03,127
2003-01-10,129
2003-01-17,130
2003-01-24,133
2003-01-31,142
2003-02-07,146
2003-02-14,149
2003-02-21,157
2003-02-28,161
2003-03-07,169
2003-03-14,170
2003-03-21,167
2003-03-28,178
2003-04-04,187
2003-04-11,186
2003-04-17,186
2003-04-25,179
2003-05-02,174
2003-05-09,170
2003-05-16,168
2003-05-23,164
2003-05-30,160
2003-06-06,159
2003-06-13,158
2003-06-20,148
2003-06-27,144
2003-07-03,148
2003-07-11,153
2003-07-18,154
2003-07-25,158
2003-08-01,156
2003-08-08,149
2003-08-15,158
2003-08-22,149
2003-08-29,154
2003-09-05,152
2003-09-12,165
2003-09-19,152
2003-09-26,148
2003-10-03,155
2003-10-10,155
2003-10-17,160
2003-10-24,158
2003-10-31,161
2003-11-07,160
2003-11-14,161
2003-11-21,157
2003-11-26,152
2003-12-05,153
2003-12-12,148
2003-12-19,154
2003-12-23,153
2003-12-31,158
2004-01-09,147
2004-01-16,145
2004-01-23,137
2004-01-30,142
2004-02-06,144
2004-02-13,155
2004-02-20,155
2004-02-27,158
2004-03-05,161
2004-03-12,169
2004-03-19,162
2004-03-26,165
2004-04-02,157
2004-04-08,148
2004-04-16,156
2004-04-23,149
2004-04-30,158
2004-05-07,158
2004-05-14,157
2004-05-21,153
2004-05-28,156
2004-06-04,159
2004-06-11,162
2004-06-18,163
2004-06-25,170
2004-07-02,168
2004-07-09,177
2004-07-16,168
2004-07-23,168
2004-07-30,171
2004-08-06,170
2004-08-13,168
2004-08-20,174
2004-08-27,169
2004-09-03,166
2004-09-10,170
2004-09-17,163
2004-09-24,165
2004-10-01,161
2004-10-08,169
2004-10-15,167
2004-10-22,178
2004-10-29,179
2004-11-05,190
2004-11-12,179
2004-11-19,186
2004-11-24,177
2004-12-03,173
2004-12-10,178
2004-12-17,182
2004-12-23,184
2004-12-31,183
2005-01-07,177
2005-01-14,172
2005-01-21,177
2005-01-28,185
2005-02-04,187
2005-02-11,193
2005-02-18,197
2005-02-25,189
2005-03-04,198
2005-03-11,189
2005-03-18,180
2005-03-24,178
2005-04-01,171
2005-04-08,170
2005-04-15,173
2005-04-22,173
2005-04-29,169
2005-05-06,155
2005-05-13,150
2005-05-20,146
2005-05-27,148
2005-06-03,146
2005-06-10,141
2005-06-17,146
2005-06-24,149
2005-07-01,157
2005-07-08,157
2005-07-15,168
2005-07-22,181
2005-07-29,189
2005-08-05,199
2005-08-12,197
2005-08-19,207
2005-08-26,220
2005-09-02,223
2005-09-09,215
2005-09-16,202
2005-09-23,205
2005-09-30,203
2005-10-07,209
2005-10-14,215
2005-10-21,216
2005-10-28,227
2005-11-04,231
2005-11-11,241
2005-11-18,265
2005-11-23,275
2005-12-02,264
2005-12-09,257
2005-12-16,237
2005-12-22,243
2005-12-30,235
2006-01-06,243
2006-01-13,241
2006-01-20,247
2006-01-27,237
2006-02-03,197
2006-02-10,206
2006-02-17,215
2006-02-24,219
2006-03-03,226
2006-03-10,238
2006-03-17,249
2006-03-24,255
2006-03-31,253
2006-04-07,264
2006-04-13,259
2006-04-21,259
2006-04-28,254
2006-05-05,259
2006-05-12,259
2006-05-19,260
2006-05-26,265
2006-06-02,265
2006-06-09,281
2006-06-16,285
2006-06-23,294
2006-06-30,302
2006-07-07,295
2006-07-14,296
2006-07-21,299
2006-07-28,302
2006-08-04,305
2006-08-11,315
2006-08-18,330
2006-08-25,315
2006-09-01,311
2006-09-08,310
2006-09-15,310
2006-09-22,299
2006-09-29,295
2006-10-06,288
2006-10-13,284
2006-10-20,291
2006-10-27,289
2006-11-03,291
2006-11-10,273
2006-11-17,289
2006-11-22,297
2006-12-01,289
2006-12-08,282
2006-12-15,278
2006-12-22,279
2006-12-29,278
2007-01-05,279
2007-01-12,269
2007-01-19,275
2007-01-26,255
2007-02-02,264
2007-02-09,254
2007-02-16,267
2007-02-23,278
2007-03-02,290
2007-03-09,287
2007-03-16,282
2007-03-23,281
2007-03-30,271
2007-04-06,283
2007-04-13,282
2007-04-20,292
2007-04-27,283
2007-05-04,282
2007-05-11,282
2007-05-18,276
2007-05-25,287
2007-06-01,288
2007-06-08,291
2007-06-15,285
2007-06-22,271
2007-06-29,281
2007-07-06,274
2007-07-13,284
2007-07-20,287
2007-07-27,296
2007-08-03,306
2007-08-10,305
2007-08-17,309
2007-08-24,310
2007-08-31,300
2007-09-07,294
2007-09-14,298
2007-09-21,305
2007-09-28,311
2007-10-05,318
2007-10-12,319
2007-10-19,320
2007-10-26,326
2007-11-02,335
2007-11-09,337
2007-11-16,337
2007-11-21,343
2007-11-30,354
2007-12-07,340
2007-12-14,342
2007-12-21,343
2007-12-28,325
2008-01-04,316
2008-01-11,327
2008-01-18,323
2008-01-25,318
2008-02-01,324
2008-02-08,324
2008-02-15,339
2008-02-22,333
2008-02-29,337
2008-03-07,337
2008-03-14,343
2008-03-21,341
2008-03-28,350
2008-04-04,362
2008-04-11,355
2008-04-18,355
2008-04-25,360
2008-05-02,357
2008-05-09,361
2008-05-16,381
2008-05-23,386
2008-05-30,390
2008-06-06,385
2008-06-13,389
2008-06-20,384
2008-06-27,375
2008-07-04,373
2008-07-11,370
2008-07-18,385
2008-07-25,393
2008-08-01,392
2008-08-08,387
2008-08-15,395
2008-08-22,395
2008-08-29,416
2008-09-05,416
2008-09-12,413
2008-09-19,417
2008-09-26,423
2008-10-03,422
2008-10-10,429
2008-10-17,428
2008-10-24,423
2008-10-31,408
2008-11-07,442
2008-11-14,429
2008-11-21,419
2008-11-26,412
2008-12-05,413
2008-12-12,401
2008-12-19,387
2008-12-26,364
2009-01-02,346
2009-01-09,341
2009-01-16,324
2009-01-23,318
2009-01-30,309
2009-02-06,283
2009-02-13,273
2009-02-20,269
2009-02-27,260
2009-03-06,241
2009-03-13,228
2009-03-20,215
2009-03-27,217
2009-04-03,224
2009-04-04,224
2009-04-17,205
2009-04-24,202
2009-05-01,196
2009-05-08,190
2009-05-15,181
2009-05-22,180
2009-05-29,187
2009-06-05,179
2009-06-12,183
2009-06-19,196
2009-06-26,219
2009-07-02,229
2009-07-10,234
2009-07-17,244
2009-07-24,257
2009-07-31,261
2009-08-07,277
2009-08-14,272
2009-08-21,280
2009-08-28,286
2009-09-04,295
2009-09-11,288
2009-09-18,293
2009-09-25,297
2009-10-02,303
2009-10-09,305
2009-10-16,309
2009-10-23,312
2009-10-30,330
2009-11-06,332
2009-11-13,361
2009-11-20,375
2009-11-25,379
2009-12-04,383
2009-12-11,393
2009-12-18,409
2009-12-23,416
2009-12-31,418
2010-01-08,427
2010-01-15,425
2010-01-22,437
2010-01-29,444
2010-02-05,445
2010-02-12,443
2010-02-19,440
2010-02-26,456
2010-03-05,456
2010-03-12,466
2010-03-19,474
2010-03-26,489
2010-04-01,502
2010-04-09,505
2010-04-16,506
2010-04-23,514
2010-04-30,513
2010-05-07,528
2010-05-14,544
2010-05-21,538
2010-05-28,555
2010-06-04,545
2010-06-11,561
2010-06-18,574
2010-06-25,583
2010-07-02,587
2010-07-09,592
2010-07-16,580
2010-07-23,591
2010-07-30,603
2010-08-06,611
2010-08-13,636
2010-08-20,655
2010-08-27,672
2010-09-03,665
2010-09-10,663
2010-09-17,670
2010-09-24,673
2010-10-01,687
2010-10-08,690
2010-10-15,695
2010-10-22,695
2010-10-29,696
2010-11-05,718
2010-11-12,720
2010-11-19,731
2010-11-24,724
2010-12-03,742
2010-12-10,763
2010-12-17,756
2010-12-22,771
2010-12-30,765
2011-01-07,777
2011-01-14,789
2011-01-21,798
2011-01-28,809
2011-02-04,818
2011-02-11,805
2011-02-18,798
2011-02-25,783
2011-03-04,801
2011-03-11,827
2011-03-18,839
2011-03-25,851
2011-04-01,877
2011-04-08,886
2011-04-15,880
2011-04-21,913
2011-04-29,926
2011-05-06,934
2011-05-13,947
2011-05-20,954
2011-05-27,958
2011-06-03,959
2011-06-10,969
2011-06-17,984
2011-06-24,"1,003"
2011-07-01,"1,006"
2011-07-08,"1,007"
2011-07-15,"1,013"
2011-07-22,"1,021"
2011-07-29,"1,025"
2011-08-05,"1,031"
2011-08-12,"1,055"
2011-08-19,"1,066"
2011-08-26,"1,069"
2011-09-02,"1,064"
2011-09-09,"1,057"
2011-09-16,"1,062"
2011-09-23,"1,071"
2011-09-30,"1,060"
2011-10-07,"1,070"
2011-10-14,"1,080"
2011-10-21,"1,079"
2011-10-28,"1,078"
2011-11-04,"1,112"
2011-11-11,"1,133"
2011-11-18,"1,125"
2011-11-25,"1,130"
2011-12-02,"1,132"
2011-12-09,"1,161"
2011-12-16,"1,196"
2011-12-22,"1,201"
2011-12-29,"1,193"
2012-01-06,"1,191"
2012-01-13,"1,191"
2012-01-20,"1,223"
2012-01-27,"1,225"
2012-02-03,"1,245"
2012-02-10,"1,263"
2012-02-17,"1,272"
2012-02-24,"1,265"
