TPEB_date,TPEB,FEWB_date,FEWB
2021-07-23,87.17993269,2021-03-01,86.15890323
2021-07-25,88.32248957,2021-03-12,83.98734787
2021-07-28,89.53466461,2021-03-14,86.15890323
2021-08-01,90.44623086,2021-03-28,91.35868256
2021-08-06,91.42917765,2021-04-01,92.70013266
2021-08-10,92.42453771,2021-03-31,93.62985054
2021-08-13,93.37583834,2021-04-03,95.22365264
2021-08-17,94.31053686,2021-04-06,97.35536294
2021-08-26,94.02467879,2021-04-06,98.27179915
2021-09-03,94.3593215,2021-04-11,95.01114569
2021-09-08,95.39498636,2021-04-12,96.14008884
2021-09-13,96.46216968,2021-04-15,92.47434403
2021-09-16,96.89382442,2021-04-13,91.67744298
2021-09-23,96.3051612,2021-04-14,90.28286615
2021-09-28,97.26571157,2021-04-15,93.94861096
2021-10-03,98.13234146,2021-04-17,87.85231795
2021-10-09,99.10854525,2021-04-17,86.81634659
2021-10-14,100.0139134,2021-04-20,85.58114997
2021-10-17,101.1207204,2021-04-26,83.95746408
2021-10-19,102.2504448,2021-04-25,83.50920724
2021-10-23,100.8351642,2021-05-07,84.20649566
2021-10-25,99.67301682,2021-05-10,83.44279882
2021-10-28,98.60052083,2021-05-12,82.15447546
2021-10-31,97.80788889,2021-05-20,84.38579839
2021-11-02,96.7935477,2021-05-27,83.73831629
2021-11-02,96.1799339,2021-06-04,84.55181945
2021-11-06,99.61580341,2021-06-09,84.18657313
2021-11-07,101.0764481,2021-06-16,81.68771913
2021-11-05,98.37141178,2021-06-23,85.33211839
2021-11-08,102.3103798,2021-06-20,83.27013693
2021-11-09,103.3830339,2021-07-02,85.54130491
2021-11-12,104.0373782,2021-07-04,84.83737565
2021-11-21,104.3228137,2021-07-12,84.50533355
2021-11-30,104.4677048,2021-07-15,86.77650154
2021-12-06,105.5700846,2021-07-15,83.58889735
2021-12-09,106.6326193,2021-07-18,88.25076847
2021-12-12,107.5507157,2021-07-19,89.51727193
2021-12-16,108.4632781,2021-07-19,90.66139414
2021-12-23,108.5774373,2021-07-25,91.89659077
2021-12-25,109.7006883,2021-07-26,92.99232971
2021-12-28,110.6685911,2021-08-01,94.28065307
2021-12-31,111.6149111,2021-08-02,95.62210316
2022-01-05,112.6635256,2021-08-03,96.5285781
2022-01-15,112.9240509,2021-08-08,94.86504717
2022-01-20,112.6200025,2021-08-10,92.57395666
2022-01-22,111.6149111,2021-08-18,92.35480887
2022-01-24,110.4987968,2021-08-20,95.38303285
2022-01-31,109.5497601,2021-08-19,96.41900421
2022-02-06,109.4748997,2021-08-20,93.47047034
2022-02-09,110.0858572,2021-08-25,94.92481475
2022-02-14,109.4151321,2021-08-24,98.22796959
2022-02-16,108.5617839,2021-09-03,96.81745473
2022-02-18,107.5118668,2021-08-30,95.881096
2022-02-20,106.3105385,2021-09-10,97.45497557
2022-02-23,105.0678709,2021-09-18,98.51940769
2022-03-04,105.8782196,2021-09-25,99.54019998
2022-03-10,106.6641633,2021-09-30,100.5429671
2022-03-13,107.581311,2021-10-08,101.9654355
2022-03-16,108.5398691,2021-10-07,101.0410303
2022-03-22,109.2778881,2021-10-12,103.4416947
2022-03-29,107.828635,2021-10-13,103.9098741
2022-04-06,108.7019057,2021-10-25,101.9973115
2022-04-11,109.8069418,2021-10-28,103.830184
2022-04-16,110.6762884,2021-10-29,105.1649932
2022-04-23,111.0321772,2021-10-28,102.8340576
2022-04-27,109.8368256,2021-10-31,106.55957
2022-04-28,108.6381536,2021-11-03,107.7549216
2022-04-29,107.7122305,2021-11-01,108.6912803
2022-04-30,106.7189502,2021-11-14,107.5756189
2022-05-01,105.7825915,2021-11-23,107.6818723
2022-05-02,104.7067751,2021-11-29,108.7444071
2022-05-05,103.5256539,2021-11-30,109.7073292
2022-05-13,103.459625,2021-12-06,111.3011313
2022-05-18,102.4710249,2021-12-08,112.2574125
2022-05-24,101.493815,2021-12-12,110.1356635
2022-05-26,101.031069,2021-12-20,109.2491111
2022-06-02,101.7240883,2021-12-26,107.639371
2022-06-05,100.5799661,2021-12-30,106.4898412
2022-06-07,99.79089177,2022-01-05,105.5302395
2022-06-12,98.85619325,2022-01-09,107.2249824
2022-06-17,97.77735827,2022-01-12,108.6613966
2022-06-21,96.68596606,2022-01-14,109.966322
2022-06-26,95.68187074,2022-01-16,111.0022934
2022-07-01,95.01645837,2022-01-22,108.9901182
2022-07-10,94.39415109,2022-01-26,107.5357738
2022-07-19,94.07539068,2022-02-05,108.3725199
2022-07-27,93.66172659,2022-02-11,108.1334496
2022-07-29,92.78172014,2022-02-14,106.7587953
2022-08-02,91.81468705,2022-02-23,109.8388178
2022-08-06,90.82741519,2022-02-22,108.45221
2022-08-09,89.97406699,2022-02-25,110.8694765
2022-08-12,89.00782447,2022-03-02,111.7892332
2022-08-14,87.86427147,2022-03-09,110.6702513
2022-08-18,86.9021667,2022-03-11,111.8921662
2022-08-18,86.0820592,2022-03-14,113.2734614
2022-08-24,87.74132102,2022-03-19,114.3891228
2022-08-31,86.79357799,2022-03-27,115.5525984
